  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Liver      1.01353685E-20 9.05822520E-18 9.05822520E-18 8.49137516E-18 1.37338568E-18 2.53480342E-18 2.68172300E-19 1.02835698E-20 7.54817387E-21 7.18207654E-21 7.18207654E-21 1.77425024E-20 1.79219462E-18 1.79219462E-18 2.15893282E-17 2.15893282E-17 2.15893282E-17 1.79491832E-19 1.32306132E-15 1.30005407E-18 1.30005407E-18 3.22678344E-18 3.22678344E-18 8.05590359E-21 3.93788970E-16
Pancreas   3.42593398E-21 3.01769941E-19 3.01769941E-19 8.42873006E-18 1.59105738E-16 1.58823755E-18 1.31408913E-18 3.70006638E-20 2.21741226E-21 5.98124526E-21 5.98124526E-21 3.42913834E-21 1.30099935E-19 1.30099935E-19 1.49311633E-19 1.49311633E-19 1.49311633E-19 7.14778996E-20 1.07054229E-15 1.10734428E-19 1.10734428E-19 8.92043803E-20 8.92043803E-20 2.23279315E-20 4.15602139E-16
Kidneys    2.11102774E-21 1.38617105E-19 1.38617105E-19 5.59512073E-19 4.07177132E-18 8.16933769E-19 7.63773553E-19 4.90025679E-20 1.45942256E-21 2.37634817E-21 2.37634817E-21 6.75093085E-21 7.47783832E-20 7.47783832E-20 1.29114597E-19 1.29114597E-19 1.29114597E-19 4.25185596E-20 1.46435727E-15 1.31601174E-19 1.31601174E-19 1.28460909E-19 1.28460909E-19 1.77328894E-20 3.79876147E-16
Spleen     6.69918055E-21 4.27877253E-19 4.27877253E-19 1.86285060E-18 6.24352155E-19 4.57853975E-20 1.20136000E-18 1.40980316E-20 1.41066833E-21 4.71776888E-21 4.71776888E-21 1.59895611E-20 3.83016311E-19 3.83016311E-19 3.37850956E-17 3.37850956E-17 3.37850956E-17 1.97452230E-19 1.88624238E-15 2.42857912E-19 2.42857912E-19 3.37818912E-19 3.37818912E-19 7.09267509E-21 3.39936808E-16
GB-wall    4.26403250E-21 2.97764500E-19 2.97764500E-19 4.19305608E-19 1.27153533E-17 1.40775237E-16 3.21572843E-19 2.31162024E-20 4.35103069E-21 1.97340078E-21 1.97340078E-21 1.42401446E-20 1.15906254E-19 1.15906254E-19 1.65921397E-19 1.65921397E-19 1.65921397E-19 7.51484859E-20 2.58623329E-16 8.78777781E-20 8.78777781E-20 1.06416562E-19 1.06416562E-19 5.92965518E-21 4.63324413E-16
Ureters    0.00000000E+00 2.72850656E-20 2.72850656E-20 1.71657189E-19 5.95496957E-17 6.74404149E-19 4.10894182E-19 7.25593687E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.88151441E-20 2.88151441E-20 1.76591892E-20 1.76591892E-20 2.51349447E-20 1.09350147E-20 2.31995155E-16 2.13185603E-19 2.13185603E-19 1.36372456E-19 1.36372456E-19 1.56950811E-18 4.85109636E-16
UB-wall    0.00000000E+00 4.15732755E-22 4.15732755E-22 7.35094594E-21 7.42176214E-18 4.41896297E-20 2.58847633E-20 1.92293222E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.84666862E-22 1.84666862E-22 1.58820551E-22 1.58820551E-22 9.35110307E-22 0.00000000E+00 1.20188871E-16 1.27712692E-18 1.27712692E-18 2.80733364E-19 2.80733364E-19 5.55202218E-15 4.82109248E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.01697071E-21 3.81990918E-22 3.89088560E-21 3.10213411E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.32852165E-16 3.63854280E-20 3.63854280E-20 1.30314627E-20 1.30314627E-20 1.48281434E-19 4.82448205E-16
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 9.16797429E-22 5.97435590E-20 1.07373062E-20 1.16108128E-21 5.83368481E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.60353370E-22 0.00000000E+00 2.41399931E-16 2.32780222E-19 2.32780222E-19 2.24881492E-19 2.24881492E-19 2.31129980E-16 4.90349549E-16
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     5.54369086E-20 4.01585536E-16 4.01585536E-16 3.56035659E-17 3.47207666E-17 1.16124150E-17 1.33104016E-17 4.70431060E-17 1.14223968E-20 8.95280199E-20 8.95280199E-20 2.42457368E-19 1.18349573E-17 1.18349573E-17 9.65711878E-17 9.65711878E-17 9.65711878E-17 1.88111541E-17 7.57717326E-16 1.59809094E-17 1.59809094E-17 2.61907790E-18 2.61907790E-18 1.84442557E-17 4.71465572E-16
Skin       4.52166248E-20 3.86989709E-20 3.86989709E-20 4.28774471E-20 4.10782030E-20 4.73907783E-20 5.76334926E-20 5.32867878E-20 5.60601553E-17 1.98157188E-19 1.98157188E-19 7.90593988E-20 1.02638630E-19 1.02638630E-19 5.07168967E-20 5.07168967E-20 5.07168967E-20 1.09109821E-18 2.49763293E-16 1.66113658E-18 1.66113658E-18 4.50323745E-19 4.50323745E-19 3.86957665E-20 4.62959277E-16
Adipose    8.41014482E-18 3.32323447E-17 3.32323447E-17 3.54545635E-18 5.84105482E-18 6.70943447E-18 9.86059519E-18 7.00920170E-18 5.67731238E-17 6.60481235E-17 6.60481235E-17 5.84329787E-17 2.29607912E-17 2.29607912E-17 2.41143583E-17 2.41143583E-17 2.41143583E-17 7.41407169E-17 1.01310426E-16 1.43915503E-17 1.43915503E-17 3.11671392E-18 3.11671392E-18 3.41263592E-18 5.05450467E-16
Muscle     1.77889655E-17 2.86260873E-18 2.86260873E-18 6.77768719E-20 1.32254862E-19 1.52857250E-19 1.00648727E-19 1.44328864E-18 9.26506619E-20 1.09486332E-17 1.09486332E-17 3.67411112E-17 4.57902040E-19 4.57902040E-19 2.63125444E-18 2.63125444E-18 2.63125444E-18 5.44595810E-18 1.48169282E-16 2.69870607E-17 2.69870607E-17 5.11735170E-18 5.11735170E-18 2.10029316E-19 4.99703432E-16
