  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       UB-cont        Other          
S-glands   1.10018255E-15 7.09892358E-17 7.09892358E-17 1.42048967E-19 8.31513575E-20 3.47159601E-21 9.89087632E-22 0.00000000E+00 0.00000000E+00 2.73411418E-17 1.06788267E-15 1.06788267E-15 2.01874237E-15 6.40357898E-17 6.40357898E-17 5.76527187E-18 5.76527187E-18 5.76527187E-18 8.12559827E-17 8.54120285E-17 2.21661117E-19 1.66978833E-20 1.52982220E-16 1.53669553E-13 3.26972177E-23 2.65178215E-17
Thyroid    1.37518012E-16 2.15028106E-15 2.15028106E-15 5.11799257E-19 6.80236071E-19 2.03989110E-20 6.53079180E-21 1.22811634E-21 0.00000000E+00 4.36849441E-18 4.51557421E-16 4.51557421E-16 8.65704021E-16 3.38908392E-15 3.38908392E-15 1.08733309E-16 1.08733309E-16 1.08733309E-16 5.16669874E-15 3.93350349E-16 1.71993646E-18 1.08395250E-19 5.65840670E-13 1.67827987E-16 0.00000000E+00 3.93664456E-17
Breast     1.25979137E-17 2.18793221E-17 2.18793221E-17 1.22648212E-17 1.46219433E-17 7.30848826E-19 1.56841863E-19 8.54488786E-20 2.83408999E-21 1.71272666E-17 6.44587644E-18 6.44587644E-18 2.09788989E-17 3.75470060E-17 3.75470060E-17 1.10373938E-16 1.10373938E-16 1.10373938E-16 3.56147811E-17 9.72088540E-17 2.50612446E-17 1.26573545E-18 1.27930588E-17 1.14475510E-17 2.63622119E-21 2.21446712E-16
Thymus     2.78442252E-17 7.18960677E-16 7.18960677E-16 1.80837660E-18 2.50980947E-18 1.12548092E-19 1.37763145E-20 5.97067090E-21 0.00000000E+00 4.75157481E-18 4.41704036E-17 4.41704036E-17 8.78249063E-17 1.44263175E-15 1.44263175E-15 3.53760568E-16 3.53760568E-16 3.53760568E-16 1.64447395E-15 1.05817348E-16 8.17510552E-18 4.99686803E-19 1.55819674E-15 2.39204950E-17 2.58062567E-21 2.34664907E-16
Ht-wall    3.71400531E-18 8.26835220E-16 8.26835220E-16 1.73067104E-16 2.39733668E-16 4.48112742E-18 1.95609727E-19 2.99735177E-19 2.26211298E-21 2.92829797E-18 3.16045334E-18 3.16045334E-18 7.03099130E-18 8.67514481E-16 8.67514481E-16 4.81998774E-16 4.81998774E-16 4.81998774E-16 8.18103358E-16 7.03852153E-16 1.14712632E-16 1.07308975E-17 4.03924714E-17 2.92092795E-18 4.23855790E-21 2.06836848E-16
Adrenals   8.23454627E-20 8.54777178E-17 8.54777178E-17 3.47576167E-16 3.42096724E-16 1.23942771E-16 1.16926840E-17 2.77673207E-18 9.38795313E-20 7.34485767E-20 4.00191643E-20 4.00191643E-20 2.13954648E-19 6.90778392E-18 6.90778392E-18 2.60561962E-17 2.60561962E-17 2.60561962E-17 5.40686499E-18 5.23447080E-16 4.75734264E-16 1.07403503E-15 3.13353677E-19 2.30873632E-20 4.36689223E-20 1.96855802E-16
Liver      3.89729430E-19 1.13052777E-16 1.13052777E-16 2.51621817E-16 2.19113656E-16 6.04661406E-17 2.82575867E-17 2.36529315E-18 6.34574041E-20 6.71231839E-19 2.03540501E-19 2.03540501E-19 5.39084323E-19 2.48481551E-17 2.48481551E-17 1.13278684E-16 1.13278684E-16 1.13278684E-16 2.03764806E-17 7.32579177E-16 6.94719747E-15 1.97996970E-16 1.75390260E-18 3.12792916E-19 6.79675309E-20 1.91413674E-17
Pancreas   7.26859407E-20 1.38796549E-17 1.38796549E-17 1.12461574E-15 6.49938914E-16 7.69076757E-16 1.19086574E-16 2.98100957E-17 3.00824657E-19 2.02691347E-19 2.48433486E-20 2.48433486E-20 4.38884205E-20 1.45967891E-18 1.45967891E-18 6.12399919E-18 6.12399919E-18 6.12399919E-18 1.08121278E-18 5.58566789E-16 2.55771454E-16 6.35759652E-16 1.11237511E-19 2.02627260E-20 3.86829491E-19 2.04258844E-16
Kidneys    2.50884816E-20 1.42116259E-17 1.42116259E-17 2.26019037E-16 2.22654466E-16 2.91355794E-16 1.52137873E-16 3.16798357E-17 5.62892665E-19 3.98717641E-20 1.86285060E-20 1.86285060E-20 3.98493336E-20 2.20155071E-18 2.20155071E-18 8.81934069E-18 8.81934069E-18 8.81934069E-18 1.43792135E-18 7.11318295E-16 1.96282641E-16 3.29583725E-14 1.07970673E-19 2.81085843E-20 3.37370303E-19 3.35723347E-17
Spleen     1.53475690E-19 8.70318290E-17 8.70318290E-17 1.00701599E-15 1.01244737E-15 8.11342173E-17 4.60048956E-19 4.88263284E-18 8.78793803E-20 1.82263597E-19 1.40539717E-19 1.40539717E-19 2.69293824E-19 2.46254526E-17 2.46254526E-17 1.56119281E-16 1.56119281E-16 1.56119281E-16 1.40496458E-17 9.23061939E-16 3.74524776E-17 3.86268729E-16 1.12325389E-18 1.99679256E-19 2.47568311E-20 1.83620786E-16
