  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Kidneys        Liver          Pancreas       Muscle         Other          
Tonsils    3.11991827E-14 9.34677719E-16 9.34677719E-16 7.06736070E-17 2.49763293E-17 1.44817528E-17 1.64655678E-17 2.46703135E-18 4.59664434E-15 2.29976413E-14 2.29976413E-14 1.00957947E-14 8.80556197E-16 8.80556197E-16 2.98421392E-16 2.98421392E-16 2.98421392E-16 1.00989991E-15 1.00161665E-16 2.68124235E-18 9.64366049E-16 9.64366049E-16 9.79827052E-16 9.79827052E-16 3.86124533E-17 8.58253901E-17 5.18624529E-17 3.33252709E-16 5.33806689E-16
S-glands   9.24535942E-15 1.13575087E-15 1.13575087E-15 7.46085525E-17 2.38179557E-17 1.99358820E-17 1.38737269E-17 5.31297745E-18 1.97916861E-15 8.81389329E-15 8.81389329E-15 1.34123000E-14 1.06006405E-15 1.06006405E-15 3.33573145E-16 3.33573145E-16 3.33573145E-16 1.26861936E-15 9.88751175E-17 4.96258145E-18 7.58582501E-16 7.58582501E-16 8.39460370E-16 8.39460370E-16 4.20635415E-17 9.30976691E-17 4.58318606E-17 2.98789893E-16 5.01045604E-16
Thyroid    2.38483970E-15 1.12516048E-14 1.12516048E-14 1.64207068E-16 4.72834325E-17 3.84874836E-17 2.89385117E-17 1.07291351E-17 7.01304692E-16 3.85035053E-15 3.85035053E-15 6.78906265E-15 1.61627564E-14 1.61627564E-14 1.36973272E-15 1.36973272E-15 1.36973272E-15 2.32587961E-14 6.75173193E-16 8.69373005E-18 5.39613041E-16 5.39613041E-16 5.30736983E-16 5.30736983E-16 9.44098517E-17 2.25330101E-16 9.85162300E-17 4.62788678E-16 4.99143961E-16
Breast     4.05510869E-16 8.87301360E-16 8.87301360E-16 6.90217631E-16 1.67571639E-16 1.00111998E-16 8.64502389E-17 2.58943764E-17 3.22021452E-16 3.24681065E-16 3.24681065E-16 4.83088254E-16 1.01755831E-15 1.01755831E-15 1.56974843E-15 1.56974843E-15 1.56974843E-15 9.88206435E-16 3.21684995E-16 2.40839170E-17 1.78578591E-16 1.78578591E-16 2.06536571E-16 2.06536571E-16 2.78025686E-16 8.07881472E-16 3.71432575E-16 2.26756038E-16 4.99751179E-16
Thymus     9.36456135E-16 5.43842787E-15 5.43842787E-15 3.08002408E-16 8.13713394E-17 5.92997561E-17 4.59071629E-17 1.64062872E-17 4.51365160E-16 1.04461907E-15 1.04461907E-15 1.66578289E-15 8.99670163E-15 8.99670163E-15 2.90827076E-15 2.90827076E-15 2.90827076E-15 1.02492832E-14 2.44556219E-16 1.26479016E-17 5.04557419E-16 5.04557419E-16 5.80436498E-16 5.80436498E-16 1.70888144E-16 4.34350046E-16 1.87983367E-16 3.64030520E-16 5.68779519E-16
Ht-wall    2.91083424E-16 5.39548954E-15 5.39548954E-15 2.36609424E-15 2.86805613E-16 1.30787269E-16 1.32456737E-16 3.54689831E-17 1.91620308E-16 2.80012385E-16 2.80012385E-16 3.95961897E-16 5.35255121E-15 5.35255121E-15 3.36168671E-15 3.36168671E-15 3.36168671E-15 5.06544118E-15 2.20635724E-15 3.26651742E-17 3.26635720E-16 3.26635720E-16 3.34614559E-16 3.34614559E-16 5.49162013E-16 1.49885213E-15 6.52069808E-16 2.88712203E-16 5.33735669E-16
Adrenals   7.56547737E-17 1.19235576E-15 1.19235576E-15 3.34342189E-15 1.53389173E-15 6.37361828E-16 4.13890252E-16 1.27480377E-16 5.37882690E-17 6.60128756E-17 6.60128756E-17 9.03210973E-17 4.57565583E-16 4.57565583E-16 8.37553780E-16 8.37553780E-16 8.37553780E-16 3.95945875E-16 1.29904470E-15 1.04099815E-16 5.81654152E-16 5.81654152E-16 6.77015696E-16 6.77015696E-16 7.51645077E-15 4.53480033E-15 4.00576165E-15 3.88239406E-16 5.35640455E-16
Liver      1.09375782E-16 1.25195673E-15 1.25195673E-15 2.19658396E-15 9.22853657E-16 6.76294717E-16 2.94848539E-16 9.46870282E-17 8.67754807E-17 9.42704623E-17 9.42704623E-17 1.26698514E-16 5.92324647E-16 5.92324647E-16 1.24831979E-15 1.24831979E-15 1.24831979E-15 5.24712799E-16 1.23982825E-15 8.75365145E-17 2.81214017E-16 2.81214017E-16 3.20467341E-16 3.20467341E-16 2.22269944E-15 7.53391449E-15 2.80621212E-15 2.88824355E-16 3.57551756E-16
Pancreas   5.85178940E-17 4.93037770E-16 4.93037770E-16 4.98437105E-15 5.11334626E-15 1.62572848E-15 9.43329472E-16 1.94568313E-16 5.03451918E-17 4.80396598E-17 4.80396598E-17 6.26226702E-17 2.40935300E-16 2.40935300E-16 4.27124230E-16 4.27124230E-16 4.27124230E-16 2.08795640E-16 1.11160607E-15 1.84346427E-16 3.02667160E-16 3.02667160E-16 4.68348231E-16 4.68348231E-16 5.12295932E-15 2.81934996E-15 4.32667760E-14 3.21316494E-16 4.70896244E-16
Kidneys    5.00231543E-17 4.66842185E-16 4.66842185E-16 2.46558940E-15 2.47215832E-15 1.59982129E-15 8.30984857E-16 2.13634213E-16 4.13121207E-17 4.43770843E-17 4.43770843E-17 5.71464309E-17 2.51381491E-16 2.51381491E-16 4.37025680E-16 4.37025680E-16 4.37025680E-16 2.15989412E-16 1.03515021E-15 1.75165955E-16 3.39164741E-16 3.39164741E-16 4.57982149E-16 4.57982149E-16 2.11166861E-14 2.22526292E-15 5.09347927E-15 4.34157784E-16 4.46741661E-16
