  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Kidneys    2.04581916E-17 3.49594909E-16 3.49594909E-16 2.22350053E-15 2.31594611E-15 1.40997940E-15 6.50035044E-16 1.23995643E-16 1.56654408E-17 1.74557128E-17 1.74557128E-17 2.47760572E-17 1.59339656E-16 1.59339656E-16 3.10613956E-16 3.10613956E-16 3.10613956E-16 1.32996670E-16 1.39094554E-15 2.56508456E-16 2.56508456E-16 3.60585840E-16 3.60585840E-16 9.52814357E-17 6.46950691E-16
Spleen     4.48865765E-17 1.00725631E-15 1.00725631E-15 6.77704632E-15 8.67850938E-16 1.22805226E-16 2.43883305E-16 4.08522961E-17 3.02490921E-17 4.27749078E-17 4.27749078E-17 6.01328879E-17 4.63557723E-16 4.63557723E-16 1.27280104E-15 1.27280104E-15 1.27280104E-15 3.52462805E-16 1.61002715E-15 2.17495458E-16 2.17495458E-16 2.48785965E-16 2.48785965E-16 2.88151441E-17 5.58275651E-16
GB-wall    3.88992429E-17 6.79515092E-16 6.79515092E-16 2.14563475E-15 1.87582823E-15 7.04252697E-16 3.43859118E-16 6.62003303E-17 3.27693157E-17 3.00568309E-17 3.00568309E-17 4.33148413E-17 2.63878467E-16 2.63878467E-16 5.08418665E-16 5.08418665E-16 5.08418665E-16 2.32267525E-16 3.07345516E-16 2.99286568E-16 2.99286568E-16 4.12272054E-16 4.12272054E-16 5.97884200E-17 6.61607279E-16
Ureters    7.81862126E-18 1.02242893E-16 1.02242893E-16 6.62708260E-16 3.29888139E-15 2.28358215E-15 2.28726715E-15 2.55451019E-15 7.50058922E-18 6.23022349E-18 6.23022349E-18 8.25008738E-18 4.79018726E-17 4.79018726E-17 9.33476087E-17 9.33476087E-17 9.33476087E-17 4.15171993E-17 2.39124841E-16 4.17399018E-16 4.17399018E-16 7.36937097E-16 7.36937097E-16 2.13153560E-15 7.00951697E-16
UB-wall    1.00393981E-18 6.60977910E-18 6.60977910E-18 4.02819212E-17 1.94504226E-15 6.21996956E-16 7.88975789E-16 4.75590068E-15 1.66305919E-18 8.06199186E-19 8.06199186E-19 1.04620522E-18 4.31498171E-18 4.31498171E-18 7.93878449E-18 7.93878449E-18 7.93878449E-18 3.88479733E-18 2.50259967E-16 3.20996059E-16 3.20996059E-16 3.56484268E-16 3.56484268E-16 2.12160210E-14 6.08019481E-16
Ovaries    1.00905075E-18 6.57020534E-18 6.57020534E-18 3.96923203E-17 2.27204648E-15 4.68252100E-16 4.90394179E-16 8.12704023E-15 1.25903835E-18 5.74764793E-19 5.74764793E-19 8.25409283E-19 4.03363952E-18 4.03363952E-18 8.59327359E-18 8.59327359E-18 8.59327359E-18 4.66922294E-18 1.06160214E-15 3.47367884E-16 3.47367884E-16 3.91539890E-16 3.91539890E-16 4.92108508E-15 7.40657167E-16
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     9.78769616E-19 6.43850643E-18 6.43850643E-18 4.00415948E-17 2.47247875E-15 4.50115462E-16 5.81846413E-16 9.79009942E-15 9.17262061E-19 5.91619690E-19 5.91619690E-19 9.09058917E-19 4.50131484E-18 4.50131484E-18 8.16260855E-18 8.16260855E-18 8.16276877E-18 3.72506033E-18 1.74685302E-16 3.11767523E-16 3.11767523E-16 3.53728525E-16 3.53728525E-16 9.59110910E-15 7.07574190E-16
LN-Sys     2.53191950E-16 1.90002110E-15 1.90002110E-15 1.19076961E-15 1.90691045E-15 1.24413811E-15 1.50570944E-15 1.39216319E-15 8.70526572E-17 3.84890857E-16 3.84890857E-16 5.21268120E-16 1.62540805E-15 1.62540805E-15 8.31689814E-16 8.31689814E-16 8.31689814E-16 1.62604892E-15 6.51621199E-16 3.16990618E-16 3.16990618E-16 3.67443156E-16 3.67443156E-16 1.01376115E-15 6.26906072E-16
Skin       1.63470067E-16 1.46522244E-16 1.46522244E-16 1.56056796E-16 1.36633611E-16 1.47582885E-16 1.45878169E-16 1.36843496E-16 2.24625143E-16 1.48220551E-16 1.48220551E-16 1.82792315E-16 1.62124239E-16 1.62124239E-16 1.80933791E-16 1.80933791E-16 1.80933791E-16 1.62957370E-16 3.35928344E-16 1.83401142E-16 1.83401142E-16 1.70295339E-16 1.70295339E-16 1.54967316E-16 4.12179182E-16
Adipose    1.91091590E-16 2.06055918E-16 2.06055918E-16 2.35007247E-16 3.42288985E-16 3.13930461E-16 3.40478525E-16 4.27668970E-16 2.47824659E-16 2.29383608E-16 2.29383608E-16 2.10670186E-16 2.31258154E-16 2.31258154E-16 2.26051081E-16 2.26051081E-16 2.26051081E-16 2.45453438E-16 1.97227926E-16 2.09132097E-16 2.09132097E-16 1.99551081E-16 1.99551081E-16 3.19890557E-16 5.05450480E-16
Muscle     2.17992133E-16 3.03372118E-16 3.03372118E-16 2.09756946E-16 3.23271150E-16 3.85467641E-16 3.86396903E-16 4.25506031E-16 8.73490599E-17 2.70831913E-16 2.70831913E-16 3.54689831E-16 3.04814077E-16 3.04814077E-16 3.08579191E-16 3.08579191E-16 3.08579191E-16 3.13401743E-16 3.04990316E-16 3.62876953E-16 3.62876953E-16 2.86549265E-16 2.86549265E-16 3.71624836E-16 5.83954350E-16
