  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
S-glands   2.60305614E-15 2.93534754E-16 2.93534754E-16 1.07608582E-17 2.23792012E-18 1.27512420E-18 8.94719437E-19 1.88656281E-19 4.50516006E-16 2.48289290E-15 2.48289290E-15 3.91940434E-15 2.69357911E-16 2.69357911E-16 7.29695259E-17 7.29695259E-17 7.29695259E-17 3.23847933E-16 1.34739838E-13 1.44399360E-17 4.71136018E-18 1.99919582E-16 1.99919582E-16 2.10253620E-16 2.10253620E-16 1.65392679E-19 3.65496051E-13
Thyroid    6.63333109E-16 3.48569517E-15 3.48569517E-15 3.44804402E-17 6.47471562E-18 3.92677435E-18 2.54826170E-18 4.86468847E-19 1.39485485E-16 1.15212511E-15 1.15212511E-15 2.00912931E-15 5.04445267E-15 5.04445267E-15 4.09179853E-16 4.09179853E-16 4.09179853E-16 8.36256017E-15 5.70615156E-13 5.08691035E-17 1.58221337E-17 1.46509427E-16 1.46509427E-16 1.38118828E-16 1.38118828E-16 5.14218544E-19 3.29146131E-13
Breast     9.28541383E-17 2.19514200E-16 2.19514200E-16 1.57825599E-16 2.80060450E-17 1.28060364E-17 1.02244495E-17 1.80997878E-18 7.28365453E-17 6.74500279E-17 6.74500279E-17 1.11945673E-16 2.55226714E-16 2.55226714E-16 4.06488197E-16 4.06488197E-16 4.06488197E-16 2.45100959E-16 1.34795914E-13 1.93094310E-16 5.21075859E-17 3.73771753E-17 3.73771753E-17 4.32379369E-17 4.32379369E-17 1.61291107E-18 3.65403783E-13
Thymus     2.33036570E-16 1.57348151E-15 1.57348151E-15 7.43794412E-17 1.38258218E-17 7.41391148E-18 5.03964614E-18 1.09276447E-18 8.67546524E-17 2.68636932E-16 2.68636932E-16 4.38900227E-16 2.60017222E-15 2.60017222E-15 9.04749062E-16 9.04749062E-16 9.04749062E-16 2.93294428E-15 1.34784699E-13 1.13868285E-16 3.33605188E-17 1.36245884E-16 1.36245884E-16 1.56297123E-16 1.56297123E-16 9.62924090E-19 3.65513246E-13
Ht-wall    6.67691029E-17 1.74717346E-15 1.74717346E-15 7.15275671E-16 7.04428936E-17 2.23487598E-17 2.29447695E-17 3.66129371E-18 3.74332514E-17 6.15444054E-17 6.15444054E-17 9.59575542E-17 1.66690442E-15 1.66690442E-15 1.09513569E-15 1.09513569E-15 1.09513569E-15 1.59490261E-15 6.36560740E-13 4.48000589E-16 1.48068344E-16 9.00439207E-17 9.00439207E-17 9.13496946E-17 9.13496946E-17 2.97347934E-18 3.23620606E-13
Adrenals   1.10644706E-17 3.48024777E-16 3.48024777E-16 1.02558521E-15 4.43322234E-16 1.67715835E-16 9.68820100E-17 1.94199812E-17 7.84601847E-18 9.83560124E-18 9.83560124E-18 1.40333036E-17 1.18057977E-16 1.18057977E-16 2.28181975E-16 2.28181975E-16 2.28181975E-16 1.00643920E-16 7.18431959E-13 1.40789657E-15 2.35215530E-15 1.56974843E-16 1.56974843E-16 1.84362448E-16 1.84362448E-16 1.49608036E-17 3.16789945E-13
Liver      1.93623028E-17 3.82743941E-16 3.82743941E-16 6.65976700E-16 2.69325867E-16 1.83401142E-16 6.63349131E-17 1.39519131E-17 1.42298907E-17 1.57364172E-17 1.57364172E-17 2.37394490E-17 1.70151143E-16 1.70151143E-16 3.80901438E-16 3.80901438E-16 3.80901438E-16 1.49729801E-16 1.02260516E-12 1.02247699E-11 6.83136011E-16 7.56339454E-17 7.56339454E-17 8.83984855E-17 8.83984855E-17 1.22476779E-17 9.10553805E-17
Pancreas   7.71367870E-18 1.37780769E-16 1.37780769E-16 1.52418254E-15 1.57944160E-15 4.85683780E-16 2.74613050E-16 3.79219153E-17 6.85411101E-18 5.84329787E-18 5.84329787E-18 8.62179233E-18 5.56275676E-17 5.56275676E-17 1.10000631E-16 1.10000631E-16 1.10000631E-16 4.75654155E-17 7.68163517E-13 8.66008435E-16 1.58911875E-15 8.13184676E-17 8.13184676E-17 1.32070612E-16 1.32070612E-16 3.42737594E-17 3.12696516E-13
Kidneys    6.38563461E-18 1.29265201E-16 1.29265201E-16 7.73418656E-16 7.58854871E-16 4.75638134E-16 2.40983365E-16 4.35247264E-17 4.80749077E-18 5.36600949E-18 5.36600949E-18 7.90593988E-18 5.83144176E-17 5.83144176E-17 1.14408219E-16 1.14408219E-16 1.14408219E-16 4.82879971E-17 1.03680045E-12 6.81694052E-16 5.18304094E-11 9.22373004E-17 9.22373004E-17 1.30614234E-16 1.30614234E-16 3.29231246E-17 1.26932439E-16
Spleen     1.49356494E-17 3.55747267E-16 3.55747267E-16 2.11695579E-15 3.02202529E-16 4.32443456E-17 9.07424697E-17 1.32479167E-17 9.65759943E-18 1.40573363E-17 1.40573363E-17 2.04149328E-17 1.70824057E-16 1.70824057E-16 4.25906576E-16 4.25906576E-16 4.25906576E-16 1.31356041E-16 1.38261422E-12 3.04766011E-16 9.64269919E-16 7.79875427E-17 7.79875427E-17 8.62820104E-17 8.62820104E-17 9.08722460E-18 2.61378821E-13
