  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Spleen         UB-cont        Other          
GB-wall    1.69221881E-16 1.72906886E-15 1.72906886E-15 5.03868483E-15 4.35375439E-15 1.84394492E-15 1.04045341E-15 2.70687717E-16 1.42877293E-16 1.42401446E-16 1.42401446E-16 1.85932581E-16 7.75469441E-16 7.75469441E-16 1.38420038E-15 1.38420038E-15 1.38420038E-15 6.71872710E-16 6.88951911E-16 1.41674058E-14 2.63798359E-15 2.57581914E-16 1.15762169E-15
Ureters    4.44716127E-17 3.19441948E-16 3.19441948E-16 1.69173815E-15 7.05758743E-15 5.28045327E-15 5.27965218E-15 5.49354274E-15 4.69565885E-17 4.07850047E-17 4.07850047E-17 5.53936499E-17 2.01505737E-16 2.01505737E-16 3.30384813E-16 3.30384813E-16 3.30400835E-16 1.67107008E-16 5.35639643E-16 1.60506040E-15 1.04011695E-15 4.73042608E-15 1.61231763E-15
UB-wall    1.38402414E-17 4.62596417E-17 4.62596417E-17 1.91299873E-16 4.23407180E-15 1.65056222E-15 2.01329497E-15 9.94903533E-15 1.46621579E-17 1.13810607E-17 1.13810607E-17 1.24360939E-17 3.57413531E-17 3.57413531E-17 5.46582509E-17 5.46582509E-17 5.46582509E-17 3.06592493E-17 5.87085530E-16 1.74268736E-16 1.41271912E-16 4.38051073E-14 1.41729031E-15
Ovaries    1.40938659E-17 4.39861533E-17 4.39861533E-17 1.76143283E-16 4.83152341E-15 1.33972396E-15 1.28632341E-15 1.63598241E-14 1.20667922E-17 7.76847313E-18 7.76847313E-18 8.98164117E-18 3.72490011E-17 3.72490011E-17 5.97099133E-17 5.97099133E-17 5.97115155E-17 3.05198599E-17 2.28214019E-15 1.65504831E-16 1.49790684E-16 1.03728110E-14 1.63970794E-15
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     1.17998696E-17 4.61042306E-17 4.61042306E-17 1.89361239E-16 5.38523561E-15 1.28302293E-15 1.58013054E-15 2.03380283E-14 1.16002384E-17 8.95296221E-18 8.95296221E-18 1.22135516E-17 3.32387534E-17 3.32387534E-17 5.74476401E-17 5.74476401E-17 5.74476401E-17 3.22598236E-17 3.83368790E-16 1.68148422E-16 1.45557734E-16 2.02467043E-14 1.62743862E-15
LN-Sys     6.84529904E-16 4.16966431E-15 4.16966431E-15 2.64647512E-15 3.97740313E-15 2.72754525E-15 3.22341887E-15 2.93102167E-15 3.02346725E-16 9.53166836E-16 9.53166836E-16 1.25267771E-15 3.49370605E-15 3.49370605E-15 1.87134214E-15 1.87134214E-15 1.87134214E-15 3.46662926E-15 1.53909880E-15 1.61643586E-15 1.88367890E-15 2.27428952E-15 1.36656853E-15
Skin       4.61699198E-16 4.29928039E-16 4.29928039E-16 4.51365160E-16 4.11022356E-16 4.30200409E-16 4.26066793E-16 4.12800772E-16 5.60553488E-16 4.25538075E-16 4.25538075E-16 4.86885413E-16 4.55130275E-16 4.55130275E-16 4.97828278E-16 4.97828278E-16 4.97828278E-16 4.57245148E-16 8.07016297E-16 4.66810141E-16 5.39725193E-16 4.48385112E-16 9.24769747E-16
Adipose    5.49450404E-16 5.90482144E-16 5.90482144E-16 6.76150521E-16 9.40189206E-16 8.82270526E-16 9.42720645E-16 1.14619706E-15 6.84497861E-16 6.33901127E-16 6.33901127E-16 5.91379363E-16 6.43065577E-16 6.43065577E-16 6.29911708E-16 6.29911708E-16 6.29911708E-16 6.82831597E-16 5.21188011E-16 6.12383897E-16 8.05029598E-16 9.12904141E-16 1.21241574E-15
Muscle     5.73499074E-16 7.87133286E-16 7.87133286E-16 5.68388131E-16 8.30984857E-16 9.53423184E-16 9.56387210E-16 1.06081707E-15 2.66249689E-16 6.74564366E-16 6.74564366E-16 8.72449184E-16 7.70983347E-16 7.70983347E-16 7.66945863E-16 7.66945863E-16 7.66945863E-16 7.90449792E-16 7.33412309E-16 5.87886618E-16 7.02490302E-16 9.79314356E-16 1.32339118E-15
