  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Skin           UB-cont        Other          
Breast     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.08763751E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.93206153E-25 3.93206153E-25 3.93206153E-25 0.00000000E+00 6.63541392E-18 9.38635095E-21 0.00000000E+00 1.68367645E-17
Thymus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.76575252E-24 5.76575252E-24 1.22973454E-20 1.22973454E-20 1.22973454E-20 0.00000000E+00 6.64294415E-18 0.00000000E+00 0.00000000E+00 1.68411659E-17
Ht-wall    0.00000000E+00 5.90049557E-20 5.90049557E-20 2.91307729E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.61379072E-20 2.61379072E-20 3.10790195E-20 3.10790195E-20 3.10790195E-20 4.28149623E-20 3.13241525E-17 0.00000000E+00 0.00000000E+00 1.49058766E-17
Adrenals   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.53215828E-17 0.00000000E+00 0.00000000E+00 1.45885133E-17
Liver      0.00000000E+00 3.14827680E-21 3.14827680E-21 7.09059226E-22 2.72818612E-22 1.89729740E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.43971270E-21 3.43971270E-21 3.43971270E-21 0.00000000E+00 5.03564070E-17 0.00000000E+00 0.00000000E+00 1.34263883E-17
Pancreas   0.00000000E+00 0.00000000E+00 0.00000000E+00 5.36296535E-22 2.01233367E-20 2.63077379E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.77873324E-17 0.00000000E+00 0.00000000E+00 1.44036631E-17
Kidneys    0.00000000E+00 0.00000000E+00 0.00000000E+00 6.64262372E-25 2.32956461E-22 3.53472177E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.10421385E-17 0.00000000E+00 0.00000000E+00 1.33703462E-17
Spleen     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.82271453E-21 2.82271453E-21 2.82271453E-21 0.00000000E+00 6.81005116E-17 0.00000000E+00 0.00000000E+00 1.20407368E-17
GB-wall    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.07649620E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.64230328E-18 0.00000000E+00 0.00000000E+00 1.68186378E-17
Ureters    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.63285044E-18 0.00000000E+00 7.69525367E-22 1.68357204E-17
UB-wall    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.76768132E-21 0.00000000E+00 0.00000000E+00 5.27003912E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.46606696E-18 0.00000000E+00 5.61658989E-19 1.70046934E-17
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.29583725E-23 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.88023267E-17 0.00000000E+00 0.00000000E+00 1.61428594E-17
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.68980936E-21 0.00000000E+00 0.00000000E+00 2.16213717E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.63973980E-18 0.00000000E+00 5.78930452E-21 1.68440800E-17
LN-Sys     0.00000000E+00 3.01177136E-20 3.01177136E-20 7.54625125E-22 6.78425612E-21 1.82007249E-21 3.70567400E-21 8.31785945E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.17599445E-24 2.14291105E-20 2.14291105E-20 3.07473690E-21 3.07473690E-21 3.07473690E-21 1.08560274E-20 1.20885818E-17 0.00000000E+00 6.11791092E-22 1.64277313E-17
Skin       3.46566796E-26 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.29454258E-21 0.00000000E+00 0.00000000E+00 6.61522650E-26 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.12809246E-17 3.75806517E-16 0.00000000E+00 2.97024696E-21
Adipose    1.14797547E-21 9.56226993E-22 9.56226993E-22 1.99967647E-23 2.37250294E-22 7.13593386E-23 1.39493496E-22 2.95793823E-22 9.23334309E-21 5.11751192E-21 5.11751192E-21 3.59864861E-21 3.20739711E-21 3.20739711E-21 1.08004319E-21 1.08004319E-21 1.08004319E-21 6.46334017E-21 3.56131790E-18 7.31649915E-21 1.15984760E-22 1.72057525E-17
Muscle     3.18624838E-21 1.16904410E-21 1.16904410E-21 1.68741228E-24 6.42825250E-25 3.01834028E-23 7.91010553E-26 4.20827676E-24 4.41671992E-22 5.78706147E-22 5.78706147E-22 7.11991209E-21 9.56579472E-22 9.56579472E-22 5.29439220E-22 5.29439220E-22 5.29439220E-22 1.23401235E-21 5.33684988E-18 2.01778107E-23 4.26371207E-23 1.69409368E-17
