  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-wall        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       T-bone-S       T-bone-V       C-bone-S       C-bone-V       UB-cont        Other          
Tongue     2.16918675E-13 1.19304470E-19 1.19304470E-19 3.89969757E-22 1.16000782E-21 5.44435592E-23 3.16686204E-24 2.59456460E-24 2.58959786E-24 1.40999542E-25 5.04333115E-19 2.41592192E-16 2.41592192E-16 4.95617274E-16 1.15182070E-19 1.15182070E-19 9.24664116E-21 9.24664116E-21 9.24664116E-21 1.30769645E-19 1.20366713E-16 2.75814682E-21 1.66033549E-23 2.39461298E-19 1.05591441E-16 2.53448298E-18 2.53448298E-18 7.90577966E-18 7.90577966E-18 4.03604279E-25 1.01284029E-16
Tonsils    2.25746667E-15 4.01938015E-20 4.01938015E-20 2.55178649E-23 3.09396301E-23 6.21980934E-24 1.15220522E-24 1.73868192E-24 1.24127021E-24 6.55658684E-26 2.47311963E-19 1.40717559E-17 1.40717559E-17 1.78770852E-18 4.38884205E-20 4.38884205E-20 2.32603982E-22 2.32603982E-22 2.32603982E-22 5.84986679E-20 1.16694524E-16 1.90931372E-21 7.86268111E-24 2.84354283E-20 1.51581917E-18 7.88254810E-20 7.88254810E-20 1.67763900E-18 1.67763900E-18 0.00000000E+00 3.21086906E-16
S-glands   1.73451626E-20 1.03345190E-19 1.03345190E-19 1.55585756E-22 1.74316802E-21 2.42633607E-23 4.73795631E-23 2.70158999E-24 1.64159003E-24 2.87606701E-25 8.49265690E-20 1.41850297E-18 1.41850297E-18 1.84779014E-16 7.16108803E-20 7.16108803E-20 1.36060032E-20 1.36060032E-20 1.36060032E-20 1.15573001E-19 1.16726568E-16 1.16692922E-21 3.66561958E-22 2.28181975E-19 2.21548965E-13 1.14526780E-18 1.14526780E-18 1.10152838E-17 1.10152838E-17 1.42555255E-25 3.23749615E-18
Thyroid    2.14691649E-19 1.15903049E-16 1.15903049E-16 2.86228829E-21 2.00015713E-21 1.98878167E-23 1.03364416E-23 1.16093708E-23 6.71760557E-24 6.36416544E-25 9.22276873E-21 6.70526882E-19 6.70526882E-19 1.10042288E-18 3.54705852E-17 3.54705852E-17 1.77569220E-19 1.77569220E-19 1.77569220E-19 1.37577293E-15 4.85715824E-16 7.31329479E-21 1.31434548E-21 8.18215510E-13 2.52567101E-19 4.59392064E-20 4.59392064E-20 6.70703121E-20 6.70703121E-20 8.24896586E-25 5.17062845E-18
Breast     2.38499992E-20 5.12552280E-20 5.12552280E-20 2.56075868E-20 3.36120605E-20 4.19465826E-21 1.51535454E-21 8.33564361E-22 9.05261759E-22 7.92821013E-23 2.01329497E-19 1.34422607E-20 1.34422607E-20 3.78466130E-20 7.10917751E-20 7.10917751E-20 1.76768132E-19 1.76768132E-19 1.76768132E-19 7.19537460E-20 1.17872124E-16 5.62395990E-20 7.68644170E-21 3.06111840E-20 1.95785967E-20 1.15726810E-20 1.15726810E-20 1.29765080E-20 1.29765080E-20 4.87269935E-23 3.21070333E-16
Thymus     5.88046836E-20 9.12487575E-19 9.12487575E-19 1.47816803E-20 1.03225027E-20 1.07381073E-22 2.30152652E-23 1.91075568E-23 1.47377806E-23 2.40598843E-24 8.38354869E-21 9.15067079E-20 9.15067079E-20 1.23848242E-19 1.98862146E-18 1.98862146E-18 4.27893274E-17 4.27893274E-17 4.27893274E-17 2.46943462E-18 1.19355740E-16 4.34862742E-20 7.35991813E-22 2.11711601E-18 5.45268724E-20 2.92445274E-18 2.92445274E-18 5.09828580E-18 5.09828580E-18 1.99711299E-24 3.20809303E-16
Ht-wall    1.28976809E-20 1.63870611E-16 1.63870611E-16 1.18992046E-17 7.87902331E-18 1.54461029E-20 2.66105493E-21 2.74901442E-21 4.04229128E-21 6.65063460E-23 8.87525665E-21 9.80323727E-21 9.80323727E-21 2.50836751E-20 8.69196766E-17 8.69196766E-17 8.13184676E-17 8.13184676E-17 8.13184676E-17 1.16962088E-16 8.10428932E-16 3.79155066E-18 3.35079190E-20 8.25857892E-20 1.03859489E-20 5.32899921E-19 5.32899921E-19 1.42444705E-19 1.42444705E-19 2.19434092E-22 2.81814358E-16
Adrenals   5.88559532E-22 1.35351870E-19 1.35351870E-19 6.12031418E-19 5.22694057E-19 2.93470667E-19 2.07177442E-20 3.18128163E-20 6.72866059E-21 1.02544102E-20 2.30392979E-23 2.92381187E-23 2.92381187E-23 1.12129924E-22 1.05264597E-20 1.05264597E-20 2.75942856E-20 2.75942856E-20 2.75942856E-20 9.72408975E-21 6.18920777E-16 4.38627857E-17 1.39937299E-16 9.01464600E-22 3.10293520E-23 3.19169578E-19 3.19169578E-19 2.78714622E-18 2.78714622E-18 7.16701608E-23 2.77124682E-16
Liver      3.27020243E-21 7.26907472E-18 7.26907472E-18 2.48369399E-17 1.98749993E-18 7.18496046E-19 1.13398847E-18 5.00327673E-19 1.10835365E-20 1.44908852E-21 2.02451021E-21 2.03989110E-21 2.03989110E-21 4.41848232E-21 5.02362437E-20 5.02362437E-20 8.94703416E-18 8.94703416E-18 8.94703416E-18 4.63061048E-20 8.93597914E-16 8.92300151E-15 7.57573130E-18 1.06121762E-20 1.99230646E-21 7.78866056E-19 7.78866056E-19 4.03812562E-19 4.03812562E-19 1.65264505E-21 7.54602704E-19
Pancreas   2.08523270E-22 3.98477314E-20 3.98477314E-20 1.60906585E-16 2.44476110E-18 4.23647507E-17 4.49650831E-18 6.42665032E-19 7.28605779E-20 3.69205550E-21 1.71961602E-21 9.50298940E-23 9.50298940E-23 5.92020234E-22 7.84153238E-21 7.84153238E-21 2.70463413E-20 2.70463413E-20 2.70463413E-20 5.46806813E-21 6.67098224E-16 3.57589770E-18 2.22045639E-17 1.96090380E-22 7.73274460E-23 4.50227615E-20 4.50227615E-20 3.64943760E-20 3.64943760E-20 2.53736690E-21 2.74892348E-16
