  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Ureters    7.65856383E-20 2.32315591E-18 2.32315591E-18 9.30399908E-18 4.79483357E-17 2.49202531E-17 1.55975085E-17 2.55194671E-17 5.79411105E-20 7.91907772E-20 7.91907772E-20 1.31325600E-19 1.39314052E-18 1.39314052E-18 1.79315592E-18 1.79315592E-18 1.79347636E-18 8.39268109E-19 1.24490715E-13 7.67186189E-18 3.55843398E-17 5.74236075E-18 5.74236075E-18 6.31257536E-18 6.31257536E-18 3.74428645E-17 2.53919442E-13
UB-wall    6.90842479E-21 1.40286573E-19 1.40286573E-19 6.41399313E-19 8.43017202E-18 3.08098538E-18 1.53967558E-18 5.21091881E-17 9.04925302E-21 5.23142667E-21 5.23142667E-21 9.45524454E-21 1.11598001E-19 1.11598001E-19 1.35279772E-19 1.35279772E-19 1.35279772E-19 6.20362736E-20 6.09323740E-14 6.31369688E-19 1.51061210E-18 5.92933474E-18 5.92933474E-18 7.37353663E-18 7.37353663E-18 1.21610002E-13 2.59932427E-13
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     8.47919862E-22 1.00430831E-20 1.00430831E-20 5.05678943E-20 4.16694061E-19 2.28518432E-19 1.23463720E-19 3.02635117E-18 2.64551382E-21 2.54345517E-22 2.54345517E-22 1.09598485E-23 9.53647489E-21 9.53647489E-21 1.16310002E-20 1.16310002E-20 1.16310002E-20 7.90065269E-21 1.67267225E-13 4.94816186E-20 1.15585818E-19 1.70439535E-18 1.70439535E-18 1.72105798E-18 1.72105798E-18 8.43209463E-18 2.49769915E-13
Prostate   1.54409759E-21 6.35230934E-20 6.35230934E-20 2.87045939E-19 3.12136023E-18 1.43261815E-18 6.98965514E-19 2.51365469E-17 4.31369997E-21 3.00344004E-21 3.00344004E-21 2.28566498E-21 5.20210684E-20 5.20210684E-20 7.97323129E-20 7.97323129E-20 7.97323129E-20 3.59704643E-20 1.24489113E-13 3.26171089E-19 7.41278995E-19 5.94199194E-18 5.94199194E-18 7.01112431E-18 7.01112431E-18 1.37924965E-16 2.53837287E-13
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     2.75366073E-18 3.09620606E-17 3.09620606E-17 2.52647210E-17 2.52230644E-17 1.45910213E-17 1.84698905E-17 2.14915954E-17 8.09804084E-19 3.66465828E-18 3.66465828E-18 7.22805900E-18 1.53011059E-17 1.53011059E-17 1.33539808E-17 1.33539808E-17 1.33539808E-17 1.93014201E-17 1.64319221E-13 1.12019373E-17 1.23136876E-17 5.22197382E-18 5.22197382E-18 4.98997867E-18 4.98997867E-18 2.11823753E-17 2.50139946E-13
Skin       2.17415349E-18 1.94792617E-18 1.94792617E-18 2.04373633E-18 1.98717950E-18 2.09628772E-18 2.38387840E-18 2.21260573E-18 3.93094001E-18 2.21340682E-18 2.21340682E-18 2.56748782E-18 2.24320730E-18 2.24320730E-18 2.28566498E-18 2.28566498E-18 2.28566498E-18 2.13361843E-18 1.34738236E-13 2.19626353E-18 2.30777501E-18 2.72049567E-18 2.72049567E-18 2.57373631E-18 2.57373631E-18 1.98525689E-18 2.52854054E-13
Adipose    2.59392373E-18 5.01256936E-18 5.01256936E-18 6.16629665E-18 8.36095800E-18 7.03035042E-18 7.51180446E-18 7.39596710E-18 3.03420183E-18 3.76511474E-18 3.76511474E-18 3.72554099E-18 4.34510263E-18 4.34510263E-18 4.31850650E-18 4.31850650E-18 4.31850650E-18 5.40013585E-18 4.44844302E-14 4.26483359E-18 7.08770834E-18 3.51229129E-18 3.51229129E-18 3.34870908E-18 3.34870908E-18 7.75293202E-18 2.61529749E-13
Muscle     3.70599443E-18 3.82856093E-18 3.82856093E-18 2.85700111E-18 3.81382091E-18 3.72618186E-18 3.24312564E-18 5.84009351E-18 1.02813267E-18 3.68164135E-18 3.68164135E-18 5.42304697E-18 3.72441946E-18 3.72441946E-18 4.20010566E-18 4.20010566E-18 4.20010566E-18 3.95529309E-18 7.32194655E-14 3.14795636E-18 4.43915039E-18 5.01977915E-18 5.01977915E-18 4.51108812E-18 4.51108812E-18 6.00848226E-18 2.58747782E-13
