  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-wall        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       T-bone-S       T-bone-V       C-bone-S       C-bone-V       UB-cont        Other          
Breast     2.60401744E-21 1.24054923E-20 1.24054923E-20 5.31169571E-20 6.22012978E-20 4.51076768E-21 5.48521142E-21 8.32731229E-21 1.13442106E-20 9.08530199E-24 7.64206141E-20 1.43992407E-22 1.43992407E-22 9.46581890E-21 7.81285342E-20 7.81285342E-20 1.06233914E-19 1.06233914E-19 1.06233914E-19 2.77833425E-20 1.30101537E-16 5.18848834E-20 3.80068306E-21 6.73298647E-21 4.32090977E-21 1.26506253E-20 1.26506253E-20 5.39837346E-21 5.39837346E-21 4.04613650E-24 2.67321872E-16
Thymus     3.04974294E-20 8.04468836E-19 8.04468836E-19 1.20217711E-20 2.23872121E-20 3.83368790E-22 4.51589465E-22 3.88607907E-21 2.67707669E-21 3.17583423E-24 8.72865750E-21 6.61762976E-20 6.61762976E-20 1.59461421E-19 9.31473366E-19 9.31473366E-19 2.53640560E-17 2.53640560E-17 2.53640560E-17 4.02530821E-18 1.30638266E-16 2.92621514E-20 5.28590067E-22 6.82751488E-17 7.67586733E-21 4.48497264E-19 4.48497264E-19 6.38130873E-18 6.38130873E-18 1.90915350E-24 2.64549419E-16
Ht-wall    4.87077674E-21 7.81301364E-17 7.81301364E-17 1.70856101E-17 1.92133004E-17 3.54321330E-20 1.00943527E-20 1.02902989E-20 4.11102465E-20 4.14082513E-22 3.03868793E-21 6.42040184E-21 6.42040184E-21 1.61899934E-20 9.70694646E-18 9.70694646E-18 2.28710694E-17 2.28710694E-17 2.28710694E-17 1.08452929E-16 5.72906268E-16 5.36152340E-19 3.51870000E-20 6.47167148E-20 4.01809841E-21 4.49170178E-20 4.49170178E-20 4.38051073E-20 4.38051073E-20 7.46854569E-22 2.35381748E-16
Adrenals   1.75550478E-23 9.31954019E-20 9.31954019E-20 2.73491526E-19 3.17567401E-19 2.22253922E-19 7.96858498E-20 7.30528391E-20 1.30240927E-19 8.21291689E-21 1.21677293E-23 2.32171395E-23 2.32171395E-23 4.40486382E-23 3.87246057E-20 3.87246057E-20 6.05830995E-20 6.05830995E-20 6.05830995E-20 3.46775079E-20 5.43538373E-16 1.73195278E-17 2.07994552E-16 2.14259062E-22 1.47505980E-22 3.73162926E-20 3.73162926E-20 5.44099135E-20 5.44099135E-20 1.50455587E-22 2.22803389E-16
Liver      1.95353379E-21 1.94552291E-18 1.94552291E-18 6.58093992E-18 1.77569220E-18 2.94544125E-19 4.12320119E-18 5.81429847E-19 6.78153242E-20 1.45288568E-21 1.87807128E-21 1.41065231E-21 1.41065231E-21 3.07906277E-21 3.55731245E-19 3.55731245E-19 4.42713407E-18 4.42713407E-18 4.42713407E-18 4.45901738E-20 6.85587341E-16 6.84642056E-15 2.30953741E-18 8.03187095E-21 1.55314989E-21 6.69805902E-19 6.69805902E-19 2.76135118E-19 2.76135118E-19 1.59491863E-21 5.43818833E-19
Pancreas   2.91804404E-22 7.31537762E-20 7.31537762E-20 2.14499388E-17 1.84907188E-18 3.20419276E-17 3.42112745E-18 4.55546841E-19 3.80228524E-19 5.54817696E-21 5.90209774E-22 8.60657165E-22 8.60657165E-22 5.18880877E-22 3.06928950E-20 3.06928950E-20 2.73747875E-20 2.73747875E-20 2.73747875E-20 1.55851718E-20 5.55218240E-16 3.23479433E-18 3.34310146E-19 3.94071329E-21 1.88367890E-23 2.49699205E-20 2.49699205E-20 2.71793219E-20 2.71793219E-20 2.12144189E-21 2.24161482E-16
Kidneys    1.29435032E-22 2.69886629E-20 2.69886629E-20 1.49782673E-19 1.51694070E-19 9.23830984E-19 1.13820220E-18 2.32860331E-19 2.06937115E-19 1.12657040E-20 2.38403861E-22 9.36119678E-22 9.36119678E-22 1.25963115E-21 1.76319522E-20 1.76319522E-20 2.81710692E-20 2.81710692E-20 2.81710692E-20 8.19849730E-21 7.62684073E-16 2.25906885E-18 3.81414134E-14 1.91844613E-21 4.98164735E-23 3.30448900E-20 3.30448900E-20 3.25257849E-20 3.25257849E-20 2.51333426E-21 1.36211897E-18
Spleen     1.76367588E-21 1.13281889E-19 1.13281889E-19 6.56347620E-19 5.44147200E-19 1.80693464E-19 1.15885425E-20 8.29606985E-21 3.58615163E-19 3.02891465E-21 3.22245757E-22 8.90345496E-22 8.90345496E-22 3.92757544E-21 9.90834005E-20 9.90834005E-20 6.92524765E-18 6.92524765E-18 6.92524765E-18 4.95376948E-20 9.83880559E-16 4.40550469E-20 3.76335235E-19 1.04208763E-20 2.11166861E-22 6.67963399E-20 6.67963399E-20 5.40093694E-20 5.40093694E-20 8.99413815E-22 1.82964474E-16
GB-wall    2.63189532E-23 5.36248470E-20 5.36248470E-20 1.60522062E-19 6.90906566E-20 2.60594006E-18 1.82568011E-17 2.86276895E-17 8.35358799E-20 1.36372456E-21 1.94856704E-23 7.57749370E-23 7.57749370E-23 5.83224285E-22 3.02506943E-20 3.02506943E-20 2.97460087E-20 2.97460087E-20 2.97460087E-20 1.63213719E-20 1.31192619E-16 1.81863053E-16 2.55002410E-19 2.82207366E-22 2.28582519E-23 2.54137234E-20 2.54137234E-20 2.48785965E-20 2.48785965E-20 4.11022356E-22 2.53286093E-16
Ureters    3.66866372E-24 2.80268733E-21 2.80268733E-21 3.92597326E-20 4.71552584E-20 1.18860667E-17 2.30473088E-19 2.08026595E-19 1.09148273E-19 1.86990018E-19 3.18256337E-24 5.19906270E-24 5.19906270E-24 7.24247859E-24 2.85539894E-21 2.85539894E-21 5.37962799E-22 5.37962799E-22 5.38747866E-21 2.70655674E-22 1.23917136E-16 4.64871508E-20 4.49138135E-18 1.50599783E-23 4.04165041E-24 3.67971874E-20 3.67971874E-20 3.90178040E-20 3.90178040E-20 4.36496962E-19 2.63977171E-16
UB-wall    1.94840683E-25 7.08610617E-24 7.08610617E-24 8.87429534E-22 1.88656281E-21 1.40659880E-18 2.07081311E-20 9.56451297E-21 9.67410185E-21 5.98989701E-19 1.73371518E-25 1.05777294E-25 1.05777294E-25 4.46895088E-25 5.16012981E-24 5.16012981E-24 6.88311041E-24 6.88311041E-24 1.82519945E-23 4.12336141E-24 6.29639338E-17 4.01585536E-21 8.09115148E-21 9.33091564E-25 1.54193465E-25 5.36536862E-20 5.36536862E-20 2.37682882E-19 2.37682882E-19 1.15319857E-15 2.67006995E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     0.00000000E+00 4.05831304E-25 4.05831304E-25 1.92084939E-24 2.01954346E-24 1.63037479E-21 5.06688314E-23 1.07550903E-23 4.92717335E-23 1.06509489E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.22461896E-25 4.22461896E-25 4.94671990E-25 4.94671990E-25 4.94671990E-25 1.04575661E-25 1.73932279E-16 1.88800477E-22 1.75630587E-22 1.26469403E-26 9.22180742E-27 1.08065202E-21 1.08065202E-21 7.21588246E-21 7.21588246E-21 2.87927136E-20 2.60976098E-16
Prostate   7.00119081E-26 3.76879975E-24 3.76879975E-24 1.64879982E-23 1.61883912E-23 1.70247274E-20 4.09836745E-21 2.17094914E-21 4.41015100E-23 1.40121549E-19 0.00000000E+00 2.10237599E-26 2.10237599E-26 0.00000000E+00 1.92757853E-24 1.92757853E-24 2.63109423E-24 2.63109423E-24 1.75342195E-23 1.19592862E-24 1.27158339E-16 4.54569513E-22 1.54842347E-21 2.44508154E-25 2.42601564E-25 6.75685890E-20 6.75685890E-20 7.02153845E-20 7.02153845E-20 4.61154458E-17 2.65134580E-16
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     1.04393013E-20 8.26899307E-17 8.26899307E-17 1.37393042E-16 7.28349431E-18 7.06992418E-18 4.56716429E-17 2.37714925E-18 2.69229737E-18 9.24696159E-18 1.65232461E-21 2.01233367E-20 2.01233367E-20 6.84545926E-20 1.78129982E-18 1.78129982E-18 2.06456462E-17 2.06456462E-17 2.06456462E-17 3.70903857E-18 2.62532639E-16 1.90626958E-18 8.88583101E-20 1.68773271E-16 2.98741828E-17 5.35591578E-19 5.35591578E-19 3.29311355E-18 3.29311355E-18 3.57237291E-18 2.57945234E-16
Skin       1.08260667E-20 9.14217925E-21 9.14217925E-21 1.18380014E-20 1.09095401E-20 1.05069132E-20 1.36431737E-20 1.19046520E-20 1.54976929E-20 1.45655467E-20 1.16801870E-17 4.20186805E-20 4.20186805E-20 2.31738807E-20 2.51045034E-20 2.51045034E-20 1.30812904E-20 1.30812904E-20 1.30812904E-20 2.29127259E-19 1.35888599E-16 1.19874845E-20 1.33504560E-20 2.51573752E-20 2.30376957E-18 9.30271734E-20 9.30271734E-20 3.33204644E-19 3.33204644E-19 9.17085821E-21 2.58484264E-16
Adipose    1.72826778E-18 6.88182866E-18 6.88182866E-18 6.89736978E-18 7.20642962E-19 1.18676417E-18 7.86011763E-18 1.36055225E-18 1.99615169E-18 1.40286573E-18 1.17474784E-17 1.36507039E-17 1.36507039E-17 1.21020401E-17 4.73603370E-18 4.73603370E-18 5.16894178E-18 5.16894178E-18 5.16894178E-18 1.52599300E-17 4.88263284E-17 1.16891592E-18 4.20603371E-18 9.37385397E-18 3.65937110E-18 6.29382989E-19 6.29382989E-19 2.98309240E-18 2.98309240E-18 6.91883894E-19 2.73293954E-16
Muscle     3.67202829E-18 5.85419267E-19 5.85419267E-19 2.12785059E-19 1.77569220E-20 3.23639650E-20 1.03731314E-18 3.75662321E-20 2.73411418E-20 2.94752408E-19 1.90979437E-20 2.20747876E-18 2.20747876E-18 7.60569200E-18 9.07536849E-20 9.07536849E-20 5.49690731E-19 5.49690731E-19 5.49690731E-19 1.14446671E-18 7.63164726E-17 1.52897304E-19 1.16481435E-19 1.08544253E-18 3.74524776E-18 1.03599936E-18 1.03599936E-18 5.57973983E-18 5.57973983E-18 5.06319813E-20 2.70371030E-16
