  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
S-glands   2.23968251E-20 4.96754820E-18 4.96754820E-18 2.35936509E-19 7.95881170E-20 7.80644472E-20 1.06137784E-19 4.12384206E-21 6.27220051E-18 6.19978213E-17 6.19978213E-17 5.81173499E-17 1.90130284E-18 1.90130284E-18 1.41922395E-18 1.41922395E-18 1.41922395E-18 3.74444667E-18 1.00028685E-15 3.28974898E-19 1.32266078E-19 4.64166550E-16 4.64166550E-16 7.36344292E-17 7.36344292E-17 4.17270844E-21 2.35864495E-15
Thyroid    7.62828269E-18 2.67178951E-14 2.67178951E-14 1.12665051E-18 2.92365165E-19 1.95048966E-19 3.82872115E-19 2.22237901E-20 1.41835878E-18 6.51316785E-17 6.51316785E-17 1.27733520E-16 9.50491201E-15 9.50491201E-15 1.05235758E-17 1.05235758E-17 1.05235758E-17 8.03940118E-14 3.20947994E-15 1.09962179E-18 4.81918666E-19 8.90457648E-18 8.90457648E-18 3.14891767E-18 3.14891767E-18 1.24143043E-21 2.15154945E-15
Breast     8.59551664E-19 2.59969157E-18 2.59969157E-18 5.86284442E-18 1.59664898E-18 1.31628411E-18 2.09821033E-18 4.79194965E-20 3.70887835E-17 6.04533232E-19 6.04533232E-19 1.10665534E-18 8.42440419E-18 8.42440419E-18 7.09139335E-18 7.09139335E-18 7.09139335E-18 2.75702530E-18 1.07401901E-15 5.52350344E-18 1.49728199E-18 9.76366351E-19 9.76366351E-19 1.17979470E-18 1.17979470E-18 7.86444350E-20 2.30873027E-15
Thymus     3.16750291E-18 4.60337348E-17 4.60337348E-17 2.25025688E-18 5.98460983E-19 6.07625433E-19 6.68524161E-19 9.36744527E-20 8.79146282E-19 6.31241514E-18 6.31241514E-18 1.35390322E-17 5.25481844E-16 5.25481844E-16 3.03708575E-15 3.03708575E-15 3.03708575E-15 6.49009651E-15 1.19672971E-15 2.64423207E-18 7.11814970E-19 9.75773546E-16 9.75773546E-16 1.17322578E-16 1.17322578E-16 4.75622112E-20 2.25083175E-15
Ht-wall    9.36840657E-19 1.16926840E-14 1.16926840E-14 3.16157486E-15 3.55827376E-18 1.84650840E-18 4.07433481E-18 2.08667466E-19 5.12360019E-19 1.07408310E-18 1.07408310E-18 2.14627562E-18 4.29783843E-15 4.29783843E-15 3.31938925E-15 3.31938925E-15 3.31938925E-15 1.42097033E-14 2.30184696E-14 7.85819502E-17 3.63710084E-18 4.16822235E-18 4.16822235E-18 8.41078569E-18 8.41078569E-18 1.06376508E-19 1.84256099E-15
Adrenals   1.70311361E-19 7.70823130E-18 7.70823130E-18 1.74284758E-17 3.13513895E-17 6.36272348E-18 8.90521735E-18 5.15580394E-19 8.99766293E-20 1.08810214E-19 1.08810214E-19 3.10149324E-19 3.29647812E-18 3.29647812E-18 5.80612737E-18 5.80612737E-18 5.80612737E-18 2.48609725E-18 4.17991824E-15 2.34959182E-15 3.70791704E-14 6.07817694E-18 6.07817694E-18 3.14363049E-18 3.14363049E-18 4.33052283E-19 1.81994870E-15
Liver      3.55667158E-19 2.69566194E-16 2.69566194E-16 2.85139349E-16 4.16549865E-17 1.03273092E-16 5.59319812E-18 4.44379670E-19 2.55979737E-19 3.27276591E-19 3.27276591E-19 5.97563764E-19 9.62203111E-17 9.62203111E-17 6.75445563E-16 6.75445563E-16 6.75445563E-16 3.79571632E-18 6.14787162E-15 6.03812253E-14 3.56932878E-16 4.14002404E-17 4.14002404E-17 1.00599059E-16 1.00599059E-16 3.38443761E-19 7.59743247E-17
Pancreas   1.81686814E-19 6.06888432E-18 6.06888432E-18 2.86501199E-16 5.38171082E-15 4.67467034E-17 3.42721572E-17 1.33467710E-18 1.52059366E-19 1.74605194E-19 1.74605194E-19 2.50115771E-19 2.97908696E-18 2.97908696E-18 3.76655670E-18 3.76655670E-18 3.76655670E-18 1.75214021E-18 4.94591882E-15 5.05614856E-16 2.25201927E-17 2.42233063E-18 2.42233063E-18 2.17687719E-18 2.17687719E-18 7.92949187E-19 1.99983701E-15
Kidneys    1.31519463E-19 3.46070121E-18 3.46070121E-18 1.07528473E-17 1.21702928E-16 1.96763294E-17 1.32615352E-17 1.27393859E-18 9.66336726E-20 1.11168618E-19 1.11168618E-19 2.26675929E-19 2.00304104E-18 2.00304104E-18 2.83280825E-18 2.83280825E-18 2.83280825E-18 1.32583309E-18 6.49506326E-15 3.60089165E-16 3.20547450E-13 2.90442554E-18 2.90442554E-18 7.45268415E-18 7.45268415E-18 7.78064967E-19 1.76602250E-16
Spleen     2.67098842E-19 8.62227298E-18 8.62227298E-18 3.34934995E-17 1.29286029E-17 1.57735877E-18 3.76863953E-17 5.92324647E-19 1.82712207E-19 3.27949505E-19 3.27949505E-19 5.76046534E-19 8.68347612E-18 8.68347612E-18 1.07882554E-15 1.07882554E-15 1.07882554E-15 4.10942247E-18 8.32603055E-15 4.04757846E-18 3.04189228E-17 2.82960389E-17 2.82960389E-17 6.58510558E-17 6.58510558E-17 2.37586751E-19 1.69348593E-15
GB-wall    1.93655072E-19 5.32739704E-18 5.32739704E-18 9.42384188E-18 4.28566189E-16 4.17415040E-15 7.23446771E-18 7.12167448E-19 9.97755407E-20 1.41818254E-19 1.41818254E-19 2.86148721E-19 3.29471573E-18 3.29471573E-18 4.01905972E-18 4.01905972E-18 4.01905972E-18 2.14371214E-18 1.38649149E-15 1.94247877E-14 1.82311662E-17 1.77521155E-18 1.77521155E-18 2.30152652E-18 2.30152652E-18 4.19577978E-19 1.24895603E-15
Ureters    3.29327377E-20 1.01246339E-18 1.01246339E-18 4.24320421E-18 1.94760574E-15 1.35287783E-17 7.67650820E-18 1.48874239E-17 3.18801077E-21 2.34254224E-20 2.34254224E-20 1.86044734E-20 6.56732142E-19 6.56732142E-19 9.14714600E-19 9.14714600E-19 7.94855777E-19 4.25954641E-19 8.77912606E-16 3.71208270E-18 1.00011061E-15 7.39404449E-18 7.39404449E-18 3.74476710E-18 3.74476710E-18 1.01919253E-16 2.24636541E-15
UB-wall    2.98661719E-21 6.39060135E-20 6.39060135E-20 2.87718854E-19 2.50436207E-16 1.35705951E-18 7.56868172E-19 3.63742128E-17 1.28847033E-21 8.96754202E-22 8.96754202E-22 9.08978808E-22 4.27156273E-20 4.27156273E-20 1.09555226E-19 1.09555226E-19 8.40549850E-20 4.10814073E-20 5.09716428E-16 3.00584331E-19 6.84770231E-19 5.58374527E-17 5.58374527E-17 1.62701022E-17 1.62701022E-17 1.31923212E-13 1.94370808E-15
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     1.49716984E-25 4.45517216E-22 4.45517216E-22 3.62668670E-20 1.85708277E-19 8.78553477E-20 6.80892963E-20 1.39168254E-18 1.45782039E-24 1.30447607E-25 1.30447607E-25 1.54988145E-25 1.18509790E-21 1.18509790E-21 1.43292256E-20 1.43292256E-20 1.43292256E-20 6.04933776E-22 1.44711785E-15 3.91619999E-20 7.12936493E-20 1.21092499E-18 1.21092499E-18 8.80684371E-19 8.80684371E-19 3.99214315E-18 2.32061917E-15
Prostate   2.66073449E-25 1.35521700E-20 1.35521700E-20 1.43977988E-19 1.38764506E-18 7.96922585E-19 2.48401443E-19 1.28831011E-17 4.23230941E-23 1.28507372E-23 1.28507372E-23 6.94719747E-21 2.61555312E-20 2.61555312E-20 1.33293073E-20 1.33293073E-20 4.26723686E-20 7.53199188E-21 1.00264205E-15 1.46033580E-19 3.71272357E-19 9.11334008E-18 9.11334008E-18 4.61923503E-18 4.61923503E-18 7.61210071E-15 2.35441094E-15
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     1.43391591E-18 1.07257705E-14 1.07257705E-14 1.31830286E-15 1.42944584E-15 4.87862740E-16 6.28277488E-16 2.72193763E-15 4.11230639E-19 2.15252411E-18 2.15252411E-18 8.24255716E-18 1.43247395E-15 1.43247395E-15 2.09612750E-15 2.09612750E-15 2.09612750E-15 7.88831593E-16 1.07002959E-14 2.72434090E-16 7.54480929E-18 4.44732149E-16 4.44732149E-16 1.09362965E-16 1.09362965E-16 1.14143859E-15 2.06881204E-15
Skin       3.60105187E-18 1.00772095E-18 1.00772095E-18 1.03494192E-18 1.04348152E-18 1.10484488E-18 1.28879077E-18 1.39464657E-18 1.35369494E-15 8.74676210E-18 8.74676210E-18 3.79315283E-18 3.54401439E-18 3.54401439E-18 1.19764295E-18 1.19764295E-18 1.19764295E-18 2.55370910E-17 8.16501181E-16 1.15116381E-18 1.20775268E-18 9.12455531E-17 9.12455531E-17 1.90274480E-17 1.90274480E-17 1.05500117E-18 1.76409068E-15
Adipose    2.07594007E-16 7.96634193E-16 7.96634193E-16 1.25956707E-16 2.37442555E-16 2.44043522E-16 3.57878162E-16 3.17983967E-16 1.27746338E-15 1.36672063E-15 1.36672063E-15 1.25298212E-15 5.82343088E-16 5.82343088E-16 4.67483055E-16 4.67483055E-16 4.67483055E-16 1.72105798E-15 6.85186796E-16 1.44791893E-16 5.41904153E-16 3.53167763E-16 3.53167763E-16 1.03484579E-16 1.03484579E-16 1.46160152E-16 2.39573716E-15
Muscle     4.41399622E-16 8.94270828E-17 8.94270828E-17 1.89056825E-18 4.18023867E-18 8.72449184E-18 4.65400226E-18 7.25866057E-17 5.32227007E-18 3.86172599E-16 3.86172599E-16 9.12231226E-16 3.43714922E-17 3.43714922E-17 9.48168045E-17 9.48168045E-17 9.48168045E-17 1.30647879E-16 7.26346710E-16 2.40678952E-17 1.90803198E-17 6.88871802E-16 6.88871802E-16 1.86108821E-16 1.86108821E-16 5.50187406E-18 2.39027665E-15
