  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
Tongue     4.48305003E-13 1.93574963E-15 1.93574963E-15 1.79892376E-16 1.79523875E-16 4.49987288E-17 6.82607292E-17 6.51428938E-17 7.83736672E-17 8.38675304E-17 1.01834338E-16 8.54056198E-18 1.19456677E-17 1.31729349E-14 3.20723689E-14 3.20723689E-14 2.88535964E-14 9.61353957E-16 9.61353957E-16 5.99005723E-16 5.99005723E-16 5.99005723E-16 1.68196488E-15 1.25423182E-15 2.06985180E-16 7.98412609E-17 1.73515714E-16 1.13410063E-16 7.85050457E-16 5.18768725E-16 5.61963403E-16 3.71400531E-15 4.86068303E-16 6.10301067E-16 1.45104318E-15 1.71032340E-15 1.90514806E-15 1.68564988E-15 6.53463702E-18 3.95015644E-15
Tonsils    2.83553195E-14 1.15198092E-15 1.15198092E-15 1.13623152E-16 9.55281709E-17 2.25602471E-17 4.02354581E-17 3.56388138E-17 4.00960688E-17 5.12392062E-17 5.05710986E-17 5.45893573E-18 4.51493334E-18 6.10990003E-15 4.47423806E-14 4.47423806E-14 9.58165626E-15 6.13088855E-16 6.13088855E-16 3.98349140E-16 3.98349140E-16 3.98349140E-16 1.15460849E-15 4.41960384E-16 1.24668557E-16 5.01881785E-17 1.27075026E-16 7.01304692E-17 8.41671374E-16 4.29351255E-16 7.18159589E-16 1.01441804E-14 3.01593702E-16 4.05078281E-16 2.20747876E-15 1.42955799E-15 2.84626653E-15 1.57950569E-15 2.23952229E-18 5.48634126E-15
S-glands   1.12623394E-14 2.05431069E-15 2.05431069E-15 1.51854287E-16 1.59767437E-16 3.91299563E-17 5.89857295E-17 5.51389038E-17 6.55722771E-17 7.70166237E-17 8.70895073E-17 8.04084314E-18 1.04503564E-17 3.11703436E-15 1.07172790E-14 1.07172790E-14 1.73259365E-14 9.44803474E-16 9.44803474E-16 6.51637221E-16 6.51637221E-16 6.51637221E-16 1.72922908E-15 4.30745149E-16 1.90450719E-16 8.77992715E-17 1.88159607E-16 9.83319797E-17 7.86284133E-16 8.02466115E-16 5.89632991E-16 3.82519636E-15 4.39092488E-16 6.60705540E-16 1.15475268E-15 1.17880135E-15 1.65376657E-15 1.11208672E-15 6.58238188E-18 5.09396474E-15
Thyroid    2.98934089E-15 2.79291405E-14 2.79291405E-14 4.90410201E-16 5.17294722E-16 1.14223968E-16 1.77425024E-16 1.39432613E-16 1.64799873E-16 2.01025084E-16 2.30248783E-16 2.00736692E-17 2.40038081E-17 9.00999969E-16 7.70262368E-15 7.70262368E-15 1.76255435E-14 1.33708037E-14 1.33708037E-14 3.61835538E-15 3.61835538E-15 3.61835538E-15 4.50516006E-14 2.12080102E-15 5.82519327E-16 2.57678044E-16 6.33276278E-16 2.93054101E-16 9.73402325E-16 6.11727005E-16 9.71992409E-16 6.83360315E-16 2.52454949E-15 3.92389043E-15 2.31866981E-15 1.53333096E-15 1.42745914E-15 9.91170462E-16 1.77953742E-17 4.63523478E-15
Breast     4.79323140E-16 1.33427656E-15 1.33427656E-15 2.82399628E-15 2.89673509E-15 4.91579790E-16 8.03571617E-16 6.17318600E-16 8.12623914E-16 1.10264990E-15 1.25351084E-15 7.11110012E-17 1.01584398E-16 4.38275378E-16 3.79395392E-16 3.79395392E-16 5.86733051E-16 3.30673205E-15 3.30673205E-15 3.11815588E-15 3.11815588E-15 3.11815588E-15 1.28935153E-15 1.11479440E-15 2.53832821E-15 7.62587943E-16 1.39935697E-15 1.36526265E-15 5.36825254E-16 9.98300147E-16 9.00583403E-16 1.26586362E-16 3.66802285E-15 3.12312263E-15 8.98260247E-16 4.93005727E-16 3.39965829E-16 5.05903248E-16 6.15796533E-17 3.91960963E-15
Thymus     1.46951627E-15 1.28794161E-14 1.28794161E-14 9.10693137E-16 9.62811938E-16 1.87342497E-16 3.15772964E-16 2.37939230E-16 2.91403859E-16 3.14122722E-16 3.72425924E-16 2.96594911E-17 3.98253009E-17 6.40550160E-16 2.58559241E-15 2.58559241E-15 5.18880877E-15 1.42920551E-14 1.42920551E-14 6.87942540E-15 6.87942540E-15 6.87942540E-15 2.95793823E-14 8.81966113E-16 1.06757826E-15 3.96907181E-16 8.69661397E-16 5.48761469E-16 7.29871499E-16 5.92340669E-16 9.34918045E-16 3.71929250E-16 8.34990298E-15 7.11174099E-15 3.09540497E-15 1.36236271E-15 1.51995279E-15 1.10431617E-15 2.99430764E-17 5.16249849E-15
Ht-wall    4.59856695E-16 1.53536573E-14 1.53536573E-14 7.39981232E-15 8.59759946E-15 7.70310433E-16 1.39251567E-15 6.50083110E-16 8.31417444E-16 1.42316531E-15 1.63918676E-15 9.30303777E-17 1.33467710E-16 2.84113956E-16 5.40590368E-16 5.40590368E-16 9.56899907E-16 1.21715746E-14 1.21715746E-14 7.91923794E-15 7.91923794E-15 7.91923794E-15 1.42644977E-14 6.86612734E-15 3.78626347E-15 1.45411936E-15 4.06408088E-15 2.56540499E-15 6.49330087E-16 4.90874832E-16 9.63933462E-16 1.36140140E-16 9.76991200E-14 8.05285946E-15 2.03684697E-15 8.21964603E-16 8.84545617E-16 7.96602149E-16 8.15844289E-17 9.11955587E-16
Adrenals   1.13139295E-16 2.83665347E-15 2.83665347E-15 5.70567091E-15 5.86989400E-15 2.69646303E-15 4.89240612E-15 2.13970670E-15 2.44187718E-15 2.85555915E-15 3.23030823E-15 2.80252711E-16 3.70487291E-16 8.33436187E-17 1.30160818E-16 1.30160818E-16 2.00047756E-16 1.51198997E-15 1.51198997E-15 2.12688929E-15 2.12688929E-15 2.12688929E-15 1.14302475E-15 3.67186807E-15 7.84089151E-15 2.83392977E-14 1.55787631E-14 7.88703419E-15 8.30536247E-16 5.29102763E-16 1.55257310E-15 4.74740915E-17 2.60978528E-15 2.10750295E-15 2.62580704E-15 1.03369223E-15 1.06067288E-15 1.01571581E-15 2.48497573E-16 3.62580451E-15
Liver      2.01569824E-16 3.37145998E-15 3.37145998E-15 5.30016004E-15 4.48945873E-15 1.65488809E-15 2.65320426E-15 4.24913226E-15 5.50988494E-15 1.56965230E-15 2.09436510E-15 2.06520549E-16 2.65192252E-16 1.63293828E-16 1.97724600E-16 1.97724600E-16 3.13385721E-16 2.41399931E-15 2.41399931E-15 3.31057728E-15 3.31057728E-15 3.31057728E-15 1.46887540E-15 3.95929853E-15 2.78506339E-14 4.97940430E-15 1.62652957E-15 8.52053478E-15 6.69501489E-16 5.35175012E-16 9.39772640E-16 6.82431053E-17 3.77953433E-15 3.28269940E-15 1.70759970E-15 7.94615450E-16 6.99558320E-16 8.00415329E-16 2.07481855E-16 6.97559883E-16
Pancreas   1.14954561E-16 2.28053801E-15 2.28053801E-15 1.38833399E-14 1.00802536E-14 7.41887822E-15 1.44631676E-14 6.69821924E-15 8.78024758E-15 5.54016607E-15 7.74444049E-15 4.45837651E-16 6.22349435E-16 9.79891139E-17 1.07304168E-16 1.07304168E-16 1.68212509E-16 1.24155860E-15 1.24155860E-15 1.47107039E-15 1.47107039E-15 1.47107039E-15 7.82535040E-16 3.75309842E-15 8.57741204E-15 7.23526880E-15 3.10453738E-15 2.43626957E-13 6.24624525E-16 4.39781424E-16 1.46802625E-15 3.55715224E-17 2.57133304E-15 1.46387661E-15 2.01441650E-15 8.91418954E-16 7.07040484E-16 7.64622707E-16 4.08106395E-16 7.88592503E-16
