  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Thymus     6.45741211E-18 5.54112738E-17 5.54112738E-17 1.96394794E-18 2.63461902E-19 2.09676837E-19 1.06890807E-19 3.28189832E-20 2.24480948E-18 6.56972468E-18 6.56972468E-18 1.22233249E-17 3.10453738E-16 3.10453738E-16 4.27588861E-15 4.27588861E-15 4.27588861E-15 8.51220346E-16 1.17756767E-15 2.95729736E-18 8.50066779E-19 7.59351546E-16 7.59351546E-16 5.77087949E-16 5.77087949E-16 1.16334035E-19 2.73302116E-15
Ht-wall    1.81606705E-18 2.02867587E-14 2.02867587E-14 1.27949814E-15 1.92309244E-18 6.01489097E-19 5.77680754E-19 1.02537693E-19 9.61786545E-19 1.51892740E-18 1.51892740E-18 2.48946183E-18 1.72538386E-14 1.72538386E-14 8.87974274E-15 8.87974274E-15 8.87974274E-15 1.87102170E-14 3.45429251E-14 5.57477309E-16 3.68628766E-18 2.11086752E-17 2.11086752E-17 9.83832494E-17 9.83832494E-17 9.15948276E-20 2.19462346E-15
Adrenals   2.91339772E-19 9.73786847E-18 9.73786847E-18 3.14475201E-17 2.41944671E-16 4.22910506E-18 2.59600656E-18 4.68684688E-19 1.44056494E-19 2.31626655E-19 2.31626655E-19 3.15068006E-19 2.95281127E-18 2.95281127E-18 5.37978821E-18 5.37978821E-18 5.37978821E-18 2.12897212E-18 5.38539583E-15 5.70791395E-15 2.12128167E-14 6.25521744E-16 6.25521744E-16 1.04141472E-16 1.04141472E-16 3.50924716E-19 2.27487212E-15
Liver      5.53391759E-19 9.47655349E-16 9.47655349E-16 3.89921692E-16 1.30391531E-16 7.86139937E-17 1.64207068E-18 3.69638137E-19 3.79651740E-19 3.93270240E-19 3.93270240E-19 6.02818903E-19 4.86629064E-18 4.86629064E-18 1.04304894E-15 1.04304894E-15 1.04304894E-15 3.82872115E-18 8.02722464E-15 7.83560433E-14 1.01946490E-15 5.94167150E-17 5.94167150E-17 1.07940232E-16 1.07940232E-16 3.27452830E-19 1.05465807E-16
Pancreas   2.63077379E-19 3.41071331E-18 3.41071331E-18 5.87758444E-16 7.15291693E-15 1.12689083E-16 7.03451608E-18 9.03419256E-19 1.88464020E-19 1.26040020E-19 1.26040020E-19 2.36609424E-19 1.32919766E-18 1.32919766E-18 2.75029616E-18 2.75029616E-18 2.75029616E-18 1.14345734E-18 6.10781720E-15 4.59167759E-16 3.38075261E-15 4.60850045E-18 4.60850045E-18 4.15123928E-18 4.15123928E-18 9.12022943E-19 2.45814549E-15
Kidneys    2.01649933E-19 3.27452830E-18 3.27452830E-18 2.27653257E-17 1.70263295E-16 3.25017522E-16 6.12127549E-18 1.09018497E-18 1.21613206E-19 1.59283580E-19 1.59283580E-19 2.32636026E-19 1.40393919E-18 1.40393919E-18 2.89176834E-18 2.89176834E-18 2.89176834E-18 1.21220673E-18 7.81589756E-15 1.02130740E-15 3.79908089E-13 2.60033244E-17 2.60033244E-17 1.79700115E-17 1.79700115E-17 8.74163513E-19 2.08542360E-16
Spleen     3.68821027E-19 9.75549241E-18 9.75549241E-18 2.89433182E-16 8.62435581E-18 1.10848182E-18 2.28518432E-18 3.13786265E-19 2.42889955E-19 3.87246057E-19 3.87246057E-19 5.58454636E-19 4.31946781E-18 4.31946781E-18 1.34084548E-15 1.34084548E-15 1.34084548E-15 3.28430158E-18 1.01493074E-14 7.91603359E-18 5.61002097E-16 6.73939517E-18 6.73939517E-18 2.06680767E-17 2.06680767E-17 2.29960391E-19 2.14502254E-15
GB-wall    3.50620302E-19 6.04805602E-18 6.04805602E-18 2.83457064E-17 1.50617407E-15 6.65608200E-18 2.91916556E-18 4.24208268E-19 3.18240316E-19 2.86212808E-19 2.86212808E-19 2.25602471E-19 2.28518432E-18 2.28518432E-18 4.63461592E-18 4.63461592E-18 4.63461592E-18 1.96010271E-18 1.43172093E-15 2.19257852E-14 5.77103971E-15 7.23142357E-16 7.23142357E-16 1.10553382E-16 1.10553382E-16 4.66185292E-19 1.39472347E-15
Ureters    5.20819511E-20 7.14458561E-19 7.14458561E-19 6.58398406E-18 9.71607887E-17 2.18056220E-17 2.18552895E-17 5.38908083E-16 6.18071623E-20 3.90754823E-20 3.90754823E-20 7.49434074E-20 4.33917458E-19 4.33917458E-19 6.46430147E-19 6.46430147E-19 8.30295921E-19 5.02650829E-19 8.49025364E-16 5.94679847E-18 6.27300160E-15 8.72833707E-16 8.72833707E-16 1.79395701E-16 1.79395701E-16 8.19769621E-16 2.70007116E-15
UB-wall    1.28640352E-20 3.52863349E-20 3.52863349E-20 2.80172602E-19 1.04780740E-15 5.40334020E-18 7.49193747E-18 5.53776281E-15 1.71192558E-20 6.62676217E-21 6.62676217E-21 2.48497573E-22 3.12985177E-20 3.12985177E-20 1.09034519E-19 1.09034519E-19 7.67202211E-20 1.84779014E-20 1.18402445E-15 3.09332214E-19 7.60537157E-19 7.54016298E-16 7.54016298E-16 3.50203737E-16 3.50203737E-16 1.58589837E-13 2.19846623E-15
Ovaries    1.14014083E-23 2.17879980E-20 2.17879980E-20 2.91548055E-19 9.76766895E-16 4.14947688E-18 4.48801678E-18 2.05783548E-16 3.01641767E-23 3.68756940E-25 3.68756940E-25 1.65344613E-21 3.82936202E-20 3.82936202E-20 1.71512993E-20 1.71512993E-20 6.39012070E-20 3.13113351E-22 4.57821931E-15 3.04365467E-19 9.59687694E-19 4.79787771E-18 4.79787771E-18 4.35743939E-18 4.35743939E-18 5.09748471E-17 2.76153680E-15
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     1.89777805E-20 4.79899923E-20 4.79899923E-20 3.26587655E-19 3.13433786E-15 4.31914737E-18 5.35126947E-18 8.32394772E-15 1.55846911E-21 1.94616378E-21 1.94616378E-21 4.64775377E-21 3.12472480E-20 3.12472480E-20 7.86364242E-20 7.86364242E-20 7.20675006E-20 1.36678472E-20 9.82807101E-16 2.81838866E-19 8.51813151E-19 3.12985177E-17 3.12985177E-17 1.17989083E-17 1.17989083E-17 5.55410501E-15 2.86532326E-15
LN-Sys     2.57854284E-18 1.24147849E-14 1.24147849E-14 5.09892667E-16 2.31947090E-15 1.28063569E-15 1.60714323E-15 1.48896670E-15 7.29470955E-19 7.45893264E-17 7.45893264E-17 6.23503002E-18 1.12354228E-14 1.12354228E-14 1.93655072E-15 1.93655072E-15 1.93655072E-15 5.51373016E-15 1.17276114E-14 4.47680154E-16 2.49266618E-15 3.23399324E-16 3.23399324E-16 1.35829318E-16 1.35829318E-16 3.50604281E-16 2.56905176E-15
Skin       2.22077683E-17 1.34054107E-18 1.34054107E-18 1.40824905E-18 1.23772940E-18 1.36338810E-18 1.34012450E-18 1.26068859E-18 4.25361836E-16 1.30708762E-18 1.30708762E-18 1.80324964E-18 1.51788598E-18 1.51788598E-18 1.66754529E-18 1.66754529E-18 1.66754529E-18 1.50487631E-18 1.02715535E-15 1.51200599E-18 1.37580497E-18 5.27837044E-17 5.27837044E-17 1.30420370E-17 1.30420370E-17 1.52666591E-18 2.08522308E-15
Adipose    2.89000595E-16 2.92733666E-16 2.92733666E-16 2.02354890E-17 1.10035879E-16 5.40558325E-17 7.49081595E-17 1.56825841E-16 2.41351866E-15 1.33530195E-15 1.33530195E-15 7.56403541E-16 9.99069192E-16 9.99069192E-16 2.75814682E-16 2.75814682E-16 2.75814682E-16 1.50388296E-15 8.28309222E-16 4.05350651E-17 2.76888140E-16 2.41207670E-16 2.41207670E-16 8.62115146E-17 8.62115146E-17 6.06343692E-17 2.92203416E-15
Muscle     7.80356080E-16 3.51149021E-16 3.51149021E-16 3.49274474E-18 4.09852767E-18 3.31185902E-17 1.14755891E-17 1.36130527E-17 2.05879679E-16 4.22413831E-16 4.22413831E-16 2.01505737E-15 3.05935600E-16 3.05935600E-16 1.77024480E-16 1.77024480E-16 1.77024480E-16 3.18656881E-16 9.43361516E-16 1.04199150E-16 1.32320552E-16 9.95304077E-16 9.95304077E-16 2.33228831E-16 2.33228831E-16 3.46710992E-17 2.85528666E-15
