  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
Thyroid    1.24024482E-19 6.23118479E-17 6.23118479E-17 5.18031724E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.51100955E-21 4.13393577E-19 4.13393577E-19 6.49362130E-19 1.90498784E-17 1.90498784E-17 1.00977173E-19 1.00977173E-19 1.00977173E-19 7.35366964E-16 3.72522055E-16 0.00000000E+00 3.57653857E-20 3.57653857E-20 2.55290801E-20 2.55290801E-20 2.12881581E-16
Breast     1.30059881E-20 2.72161720E-20 2.72161720E-20 1.66674420E-20 2.21372725E-21 2.86405069E-22 4.19850348E-22 2.68444670E-23 1.05833370E-19 7.35286855E-21 7.35286855E-21 2.20475506E-20 4.01649624E-20 4.01649624E-20 1.03553473E-19 1.03553473E-19 1.03553473E-19 3.95337048E-20 9.00118772E-17 3.63790193E-24 6.77624523E-21 6.77624523E-21 6.41223074E-21 6.41223074E-21 2.35619466E-16
Thymus     3.13385721E-20 5.47896293E-19 5.47896293E-19 3.84810749E-21 4.64567094E-24 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.95857910E-21 4.91083115E-20 4.91083115E-20 6.09099435E-20 1.26855528E-18 1.26855528E-18 2.31258154E-17 2.31258154E-17 2.31258154E-17 1.52216379E-18 9.12215205E-17 0.00000000E+00 2.69037476E-18 2.69037476E-18 1.50071065E-18 1.50071065E-18 2.35484815E-16
Ht-wall    6.48593085E-21 8.82270526E-17 8.82270526E-17 4.22734266E-18 7.74924701E-21 1.99182581E-21 2.35391769E-21 4.52903249E-24 4.07866068E-21 5.16109112E-21 5.16109112E-21 1.41186996E-20 4.63589767E-17 4.63589767E-17 4.40886926E-17 4.40886926E-17 4.40886926E-17 6.26082506E-17 5.61146293E-16 7.05598525E-23 7.79106382E-20 7.79106382E-20 2.89208878E-19 2.89208878E-19 2.07395837E-16
Adrenals   4.40117881E-23 7.42512671E-20 7.42512671E-20 3.03404161E-19 1.58246972E-19 1.56694463E-20 1.91572243E-21 3.65472478E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.33172291E-24 3.05775383E-21 3.05775383E-21 1.04136665E-20 1.04136665E-20 1.04136665E-20 4.55178340E-21 4.73651435E-16 2.17383306E-24 1.44594826E-18 1.44594826E-18 1.69942860E-19 1.69942860E-19 2.04596755E-16
Liver      1.59381313E-21 3.91892369E-18 3.91892369E-18 1.07656647E-18 3.89200712E-19 2.68508757E-19 5.41247261E-21 6.54088551E-22 8.97571312E-22 9.36856679E-22 9.36856679E-22 2.33677441E-21 2.75029616E-20 2.75029616E-20 4.82879971E-18 4.82879971E-18 4.82879971E-18 2.53656581E-20 6.82863641E-16 8.27492112E-22 2.17751806E-19 2.17751806E-19 4.20555306E-19 4.20555306E-19 1.88404207E-16
Pancreas   1.47574874E-23 2.00207974E-20 2.00207974E-20 1.37513206E-18 2.27300778E-17 3.58406880E-19 3.81798657E-20 1.25865383E-21 8.53191023E-22 5.99181963E-24 5.99181963E-24 1.97452230E-22 2.97299869E-21 2.97299869E-21 1.48814959E-20 1.48814959E-20 1.48814959E-20 2.09035966E-21 5.09668362E-16 7.80179840E-22 2.00352170E-20 2.00352170E-20 2.48353377E-20 2.48353377E-20 2.02035782E-16
Kidneys    8.38242716E-24 1.39563992E-20 1.39563992E-20 1.83112751E-19 5.17102461E-19 7.91619380E-19 3.48489408E-20 4.75125437E-21 1.79908398E-22 9.62155046E-22 9.62155046E-22 2.04886329E-22 5.93462193E-21 5.93462193E-21 1.45495249E-20 1.45495249E-20 1.45495249E-20 3.70935900E-21 6.91659589E-16 2.99574960E-21 8.44363030E-20 8.44363030E-20 2.99751199E-20 2.99751199E-20 1.87702238E-16
Spleen     1.49294009E-21 7.79811340E-20 7.79811340E-20 8.30968835E-19 7.55570410E-20 1.44400962E-21 9.95159881E-21 5.14218544E-24 6.03315578E-23 1.01287995E-21 1.01287995E-21 1.57694221E-21 1.63710393E-20 1.63710393E-20 4.52006031E-18 4.52006031E-18 4.52006031E-18 2.19914745E-20 9.19184672E-16 1.54879197E-22 2.20683789E-20 2.20683789E-20 4.65336139E-20 4.65336139E-20 1.69115269E-16
GB-wall    0.00000000E+00 3.83416855E-20 3.83416855E-20 1.95834032E-19 4.20395088E-18 2.65704949E-20 4.24881183E-21 0.00000000E+00 1.27493194E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.84666862E-21 1.84666862E-21 3.01337354E-20 3.01337354E-20 3.01337354E-20 1.80997878E-21 9.14217925E-17 0.00000000E+00 3.52623023E-18 3.52623023E-18 3.13898417E-20 3.13898417E-20 2.29848197E-16
