  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
Liver      3.47431971E-22 1.16066471E-18 1.16066471E-18 3.22950714E-19 1.16542318E-19 7.72441328E-20 1.41313568E-21 1.10795311E-22 2.48818008E-22 1.35239717E-22 1.35239717E-22 6.97860012E-22 8.14610613E-21 8.14610613E-21 1.42957401E-18 1.42957401E-18 1.42957401E-18 6.96097618E-21 4.37730638E-16 2.04021154E-22 6.49330087E-20 6.49330087E-20 1.24628502E-19 1.24628502E-19 1.20619886E-16
Pancreas   0.00000000E+00 4.53143576E-21 4.53143576E-21 4.49138135E-19 6.66633593E-18 1.11481042E-19 1.01534731E-20 3.67971874E-23 5.88591576E-23 0.00000000E+00 0.00000000E+00 5.50299558E-24 1.60570128E-22 1.60570128E-22 4.24208268E-21 4.24208268E-21 4.24208268E-21 2.69373933E-22 3.26635720E-16 1.97916861E-23 4.61667155E-21 4.61667155E-21 7.17662914E-21 7.17662914E-21 1.29394431E-16
Kidneys    0.00000000E+00 2.89353074E-21 2.89353074E-21 5.91539581E-20 1.74444976E-19 2.43546848E-19 9.79843074E-21 1.40496458E-21 3.54978222E-24 9.62843982E-23 9.62843982E-23 0.00000000E+00 1.12309367E-21 1.12309367E-21 3.10277498E-21 3.10277498E-21 3.10277498E-21 4.75445873E-22 4.43610626E-16 5.51373016E-22 2.71216436E-20 2.71216436E-20 9.02233645E-21 9.02233645E-21 1.20153120E-16
Spleen     1.66225811E-22 2.56316194E-20 2.56316194E-20 3.04221271E-19 2.41447997E-20 7.79410796E-23 2.64150837E-21 0.00000000E+00 0.00000000E+00 9.53759641E-23 9.53759641E-23 7.68756322E-23 2.97444065E-21 2.97444065E-21 1.37309729E-18 1.37309729E-18 1.37309729E-18 4.91451616E-21 5.89665034E-16 4.79034748E-24 6.64823133E-21 6.64823133E-21 1.49558369E-20 1.49558369E-20 1.08222111E-16
GB-wall    0.00000000E+00 6.74291996E-21 6.74291996E-21 5.25658084E-20 1.29829167E-18 4.90378157E-21 1.18666804E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.72105798E-20 1.72105798E-20 1.72105798E-20 1.80068615E-23 5.79763584E-17 0.00000000E+00 1.01400148E-18 1.01400148E-18 4.27188317E-21 4.27188317E-21 1.49392588E-16
Ureters    0.00000000E+00 4.80636924E-23 4.80636924E-23 1.04998636E-20 1.31440957E-19 5.25481844E-20 5.00247565E-20 1.29489506E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.65087647E-22 0.00000000E+00 5.78642060E-17 4.91740007E-19 5.76671383E-19 5.76671383E-19 2.75686508E-20 2.75686508E-20 1.50921959E-16
UB-wall    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.11126961E-18 1.20228926E-20 2.28342193E-20 4.36400832E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.90866976E-17 2.36689532E-16 9.52029290E-19 9.52029290E-19 2.99799264E-19 2.99799264E-19 1.51629513E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.72465206E-19 3.17647510E-21 1.40547728E-21 4.16678039E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.47728528E-16 1.97868796E-19 1.14717439E-20 1.14717439E-20 3.25145696E-21 3.25145696E-21 1.44982791E-16
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.12472480E-18 4.83296537E-21 7.18207654E-21 7.72665633E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.75934382E-17 3.59336143E-18 1.68773271E-20 1.68773271E-20 7.56804085E-21 7.56804085E-21 1.51195131E-16
LN-Sys     4.13938317E-21 1.68388749E-17 1.68388749E-17 2.96803194E-19 1.87903258E-18 8.51124215E-19 1.35161211E-18 1.19919706E-18 7.43201607E-22 8.80267805E-21 8.80267805E-21 1.56768163E-20 1.03034368E-17 1.03034368E-17 2.74773268E-18 2.74773268E-18 2.74773268E-18 4.29335233E-18 1.17330588E-16 2.79579797E-19 2.71889350E-19 2.71889350E-19 1.13331556E-19 1.13331556E-19 1.47119151E-16
Skin       5.34870598E-21 2.30889654E-21 2.30889654E-21 2.58383002E-21 2.16758457E-21 3.24024173E-21 3.24729130E-21 2.01665954E-21 5.56836438E-19 2.50644490E-21 2.50644490E-21 5.08290491E-21 3.35992431E-21 3.35992431E-21 4.14611231E-21 4.14611231E-21 4.14611231E-21 3.72137533E-21 9.67346098E-17 3.49963410E-21 1.28933551E-20 1.28933551E-20 7.37513880E-21 7.37513880E-21 1.46734577E-16
Adipose    4.58014192E-19 4.18760868E-19 4.18760868E-19 1.49628864E-20 9.45059823E-20 3.55522962E-20 5.79731540E-20 1.33789748E-19 3.92421087E-18 2.23711903E-18 2.23711903E-18 1.47366591E-18 1.38408822E-18 1.38408822E-18 4.55066188E-19 4.55066188E-19 4.55066188E-19 2.71953437E-18 3.13722178E-17 4.41848232E-20 2.60465831E-19 2.60465831E-19 6.56363641E-20 6.56363641E-20 1.55311599E-16
Muscle     1.31227867E-18 4.66569815E-19 4.66569815E-19 4.95617274E-21 7.89328268E-21 2.19610331E-20 1.31530679E-20 1.34137420E-20 1.74605194E-19 3.03900836E-19 3.03900836E-19 3.03740618E-18 3.86653252E-19 3.86653252E-19 2.20972181E-19 2.20972181E-19 2.20972181E-19 5.32323138E-19 4.65095812E-17 2.67355190E-20 1.32267680E-18 1.32267680E-18 1.73115169E-19 1.73115169E-19 1.52060823E-16
