  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Tongue     5.60072835E-15 2.00272061E-21 2.00272061E-21 1.02286151E-22 2.65913232E-23 2.72337959E-23 3.97323747E-23 1.11798273E-24 1.23976417E-20 1.08279894E-19 1.08279894E-19 7.56483650E-20 8.28325244E-22 8.28325244E-22 4.62500287E-22 4.62500287E-22 4.62500287E-22 1.54837540E-21 9.83832494E-18 1.16805075E-22 3.64495151E-21 3.64495151E-21 2.09772967E-23 2.79852167E-21 2.79852167E-21 1.49875599E-21 3.10421694E-23 0.00000000E+00 3.24136325E-26 1.04484337E-23 8.44475183E-25 3.42891036E-18
Tonsils    3.74284449E-20 1.04205559E-21 1.04205559E-21 3.71464619E-23 1.22752354E-23 6.44843992E-24 1.50567740E-23 6.34862433E-25 6.52790788E-21 7.25705840E-20 7.25705840E-20 1.10446036E-20 4.49586744E-22 4.49586744E-22 2.35760270E-22 2.35760270E-22 2.35760270E-22 8.33660491E-22 9.88863328E-18 4.61346719E-23 3.43538682E-21 3.43538682E-21 1.45836513E-23 1.64175025E-21 1.64175025E-21 1.63870611E-21 2.66778407E-23 0.00000000E+00 0.00000000E+00 5.44307418E-24 1.21654863E-27 2.00368253E-17
S-glands   1.17370643E-20 2.00896910E-21 2.00896910E-21 8.44523248E-23 2.38291709E-23 2.30569218E-23 3.36553193E-23 1.26597577E-24 2.38259665E-21 1.15564990E-20 1.15564990E-20 1.97964927E-20 7.96361823E-22 7.96361823E-22 4.98949802E-22 4.98949802E-22 4.98949802E-22 1.53632703E-21 9.85274452E-18 1.09704228E-22 3.23126954E-21 3.23126954E-21 2.32171395E-23 1.03088842E-21 1.03088842E-21 7.27227907E-22 3.21797147E-23 0.00000000E+00 8.43593986E-27 8.93678023E-24 6.59776277E-25 2.00854508E-17
Thyroid    2.97556217E-21 1.06701750E-19 1.06701750E-19 4.72834325E-22 1.17317771E-22 9.34950089E-23 1.50167196E-22 9.85979410E-24 5.70182568E-22 9.44707344E-21 9.44707344E-21 2.27509061E-20 3.34934995E-20 3.34934995E-20 4.33468849E-21 4.33468849E-21 4.33468849E-21 2.77064380E-19 3.16461900E-17 5.41006934E-22 1.54002806E-21 1.54002806E-21 9.65647790E-23 1.02415928E-21 1.02415928E-21 1.41007553E-21 1.78354287E-22 0.00000000E+00 1.19520764E-25 5.04301071E-23 2.82688019E-24 1.80139411E-17
Breast     2.97492130E-22 1.16159397E-21 1.16159397E-21 2.66666254E-21 6.16421382E-22 5.46678639E-22 9.63004199E-22 2.96995455E-23 3.45877860E-22 2.11567405E-22 2.11567405E-22 3.77568911E-22 3.10053194E-21 3.10053194E-21 2.94303799E-21 2.94303799E-21 2.94303799E-21 1.07281738E-21 9.85963388E-18 2.33148722E-21 2.37170185E-22 2.37170185E-22 1.24392982E-22 4.14771449E-22 4.14771449E-22 3.72890556E-22 5.28814371E-22 0.00000000E+00 1.68773271E-24 2.06712810E-22 1.32487178E-23 2.00932521E-17
Thymus     1.22635395E-21 1.61579499E-20 1.61579499E-20 9.90866048E-22 2.42905977E-22 1.91700417E-22 2.85812264E-22 1.07433944E-23 3.79427436E-22 2.50660511E-21 2.50660511E-21 5.40574347E-21 1.94167768E-20 1.94167768E-20 2.24512991E-20 2.24512991E-20 2.24512991E-20 4.28950711E-20 9.84168951E-18 1.07858521E-21 3.81205852E-21 3.81205852E-21 1.45416742E-22 1.14478714E-21 1.14478714E-21 1.93110332E-21 3.17407184E-22 0.00000000E+00 1.27148726E-25 9.05437998E-23 5.83048045E-24 2.00907241E-17
Ht-wall    3.53087654E-22 5.05967335E-20 5.05967335E-20 1.86990018E-20 1.65008156E-21 8.46173490E-22 1.90514806E-21 6.45532928E-23 1.79780224E-22 4.50115462E-22 4.50115462E-22 9.10837333E-22 1.97804709E-20 1.97804709E-20 1.97772666E-20 1.97772666E-20 1.97772666E-20 6.27348225E-20 3.19377861E-17 5.12247866E-21 1.00772095E-21 1.00772095E-21 2.52118492E-22 9.24071311E-22 9.24071311E-22 1.25609034E-21 1.68901445E-21 0.00000000E+00 1.91796547E-24 5.64815277E-22 3.10597934E-23 1.79735528E-17
Adrenals   5.25593997E-23 3.55667158E-21 3.55667158E-21 7.73450699E-21 6.39572832E-21 2.94816495E-21 4.08458874E-21 2.61475203E-22 3.65488500E-23 6.88679541E-23 6.88679541E-23 1.32357402E-22 1.71897515E-21 1.71897515E-21 2.50900838E-21 2.50900838E-21 2.50900838E-21 1.22726719E-21 4.25073444E-17 1.50628622E-20 1.19024089E-21 1.19024089E-21 2.03828893E-22 1.13097638E-21 1.13097638E-21 1.52673000E-21 9.62651720E-20 0.00000000E+00 9.72921672E-24 3.18016011E-21 1.36375660E-22 1.69573245E-17
Liver      1.23904319E-22 5.15019632E-21 5.15019632E-21 6.48897499E-21 3.49034148E-21 7.31778089E-21 2.57950414E-21 1.69990925E-22 9.23606679E-23 1.23241018E-22 1.23241018E-22 2.32700113E-22 3.13225503E-21 3.13225503E-21 6.04100644E-21 6.04100644E-21 6.04100644E-21 1.77809547E-21 5.21652642E-17 5.21684686E-16 7.96618171E-22 7.96618171E-22 2.45004828E-22 1.17303351E-21 1.17303351E-21 1.16782644E-21 7.34645985E-21 0.00000000E+00 6.72834016E-24 1.74765411E-21 1.20127989E-22 1.15755132E-21
Pancreas   5.85499375E-23 2.92781731E-21 2.92781731E-21 1.47179136E-20 3.17807728E-20 1.18442499E-20 1.04442681E-20 5.54769630E-22 4.62756635E-23 5.75918360E-23 5.75918360E-23 1.07675873E-22 1.42649784E-21 1.42649784E-21 1.73147213E-21 1.73147213E-21 1.73147213E-21 8.34333406E-22 4.25297748E-17 1.22979863E-20 7.74764484E-22 7.74764484E-22 1.27026961E-22 8.88599123E-22 8.88599123E-22 1.22555286E-21 9.78288963E-21 0.00000000E+00 1.77745459E-23 6.51140546E-21 3.22341887E-22 1.69602953E-17
Kidneys    3.53872721E-23 1.68196488E-21 1.68196488E-21 4.94800164E-21 9.51837029E-21 6.25697983E-21 5.84201612E-21 5.78081298E-22 2.49074357E-23 3.98813771E-23 3.98813771E-23 7.31489697E-23 9.45636606E-22 9.45636606E-22 1.30248938E-21 1.30248938E-21 1.30248938E-21 6.26531115E-22 5.83112132E-17 7.16172890E-21 8.56667746E-22 8.56667746E-22 1.93078288E-22 1.03250662E-21 1.03250662E-21 1.27773575E-21 2.91692251E-15 0.00000000E+00 1.70904166E-23 1.11181435E-20 3.24985479E-22 2.03548302E-21
