  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Ht-wall        Liver          Kidneys        Muscle         St-wall        SI-wall        RC-wall        LC-wall        RS-wall        Spleen         Pancreas       Brain          R-marrow       Skin           Lung-Tis       Adipose        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Cartilage      UB-cont        Other          
Tongue     1.85996668E-13 1.42926960E-15 1.42926960E-15 8.04132379E-17 2.43258456E-17 1.77905677E-17 1.23569464E-17 4.01297145E-18 7.37433772E-15 2.30360935E-14 2.30360935E-14 3.08771453E-14 1.38416833E-15 1.38416833E-15 3.69734268E-16 3.69734268E-16 3.69734268E-16 1.58697183E-15 4.84610322E-16 3.02074355E-16 1.05205317E-16 4.20090675E-17 3.11895697E-16 7.27324038E-17 2.01009062E-17 1.63854589E-17 1.28643557E-17 3.10758151E-18 8.65784130E-17 5.12840672E-17 1.62396609E-15 7.87421678E-16 2.47151745E-16 4.03572235E-16 2.83264803E-16 9.64894768E-16 9.64894768E-16 1.02673878E-15 1.02673878E-15 8.14594591E-16 3.51181064E-18 2.76238556E-15
Tonsils    4.53111532E-14 1.02239688E-15 1.02239688E-15 6.33148104E-17 1.86365169E-17 1.29348514E-17 1.07413116E-17 1.63261784E-18 5.15804698E-15 2.63782337E-14 2.63782337E-14 1.13353986E-14 9.61001479E-16 9.61001479E-16 3.01016918E-16 3.01016918E-16 3.01016918E-16 1.12040202E-15 1.62813175E-16 2.30136631E-16 8.56267202E-17 3.33364862E-17 4.19818305E-16 6.71968840E-17 1.63646306E-17 1.03045583E-17 1.04506768E-17 3.74124231E-18 6.87926518E-17 4.14098535E-17 2.35840379E-15 8.14834918E-16 2.36689532E-16 3.22934693E-16 3.64463107E-16 1.07845704E-15 1.07845704E-15 1.08723696E-15 1.08723696E-15 6.72353363E-16 9.83367862E-19 4.67382826E-15
S-glands   1.03785788E-14 1.23926749E-15 1.23926749E-15 6.88503302E-17 1.91924721E-17 1.42327746E-17 9.94038358E-18 2.93278406E-18 2.13393886E-15 9.99085214E-15 9.99085214E-15 1.60345823E-14 1.15547366E-15 1.15547366E-15 3.49242431E-16 3.49242431E-16 3.49242431E-16 1.38777323E-15 1.68484879E-16 2.49827380E-16 8.69789571E-17 3.58503011E-17 3.39837655E-16 6.09099435E-17 1.58785303E-17 1.34989778E-17 9.32594890E-18 3.09957063E-18 8.53495436E-17 3.93238197E-17 2.02755434E-15 7.08674704E-16 3.17311053E-16 3.76223083E-16 3.03340074E-16 8.87509643E-16 8.87509643E-16 9.18207345E-16 9.18207345E-16 6.05093994E-16 2.97476108E-18 5.09379622E-15
Thyroid    2.67611539E-15 1.33352353E-14 1.33352353E-14 1.68741228E-16 4.43065886E-17 3.10854282E-17 2.26900234E-17 5.61482750E-18 7.15467932E-16 4.38275378E-15 4.38275378E-15 7.70246346E-15 1.85868494E-14 1.85868494E-14 1.53626295E-15 1.53626295E-15 1.53626295E-15 3.34710690E-14 1.00208128E-15 1.04783944E-15 2.30328892E-16 8.77496040E-17 5.40702521E-16 1.46589536E-16 3.87326166E-17 3.19137534E-17 2.06007853E-17 5.54481239E-18 1.97644491E-16 9.20722762E-17 4.08779309E-16 1.03793799E-15 3.02763291E-16 2.10477925E-15 3.63453736E-16 6.05270233E-16 6.05270233E-16 5.80821020E-16 5.80821020E-16 7.51180446E-16 5.80612737E-18 4.50245558E-15
Breast     4.41207361E-16 9.67346098E-16 9.67346098E-16 7.31537762E-16 1.61899934E-16 9.03899909E-17 7.70550760E-17 1.95257248E-17 3.53520242E-16 3.43426530E-16 3.43426530E-16 5.22982449E-16 1.11388116E-15 1.11388116E-15 1.74541106E-15 1.74541106E-15 1.74541106E-15 1.07743164E-15 4.17078583E-16 2.37314381E-15 8.71519922E-16 2.79691949E-16 2.38307731E-16 6.29415033E-16 1.33169705E-16 9.16957647E-17 7.50539575E-17 1.66386028E-17 5.28750284E-16 3.78594304E-16 1.05522548E-16 5.09331905E-16 4.75301677E-16 1.72458277E-15 2.43338565E-16 1.86493343E-16 1.86493343E-16 2.15284455E-16 2.15284455E-16 2.83360933E-16 1.80357007E-17 6.06965657E-15
Thymus     1.00911484E-15 6.15716424E-15 6.15716424E-15 3.20483363E-16 8.00207046E-17 5.56900525E-17 3.68772962E-17 1.16234700E-17 4.65095812E-16 1.14672578E-15 1.14672578E-15 1.81975205E-15 1.01936877E-14 1.01936877E-14 3.47063471E-15 3.47063471E-15 3.47063471E-15 1.15717197E-14 3.42369094E-16 4.58238497E-15 4.65912922E-16 1.65104287E-16 4.05094303E-16 2.82207366E-16 6.85619384E-17 5.31201614E-17 3.70262986E-17 1.03516623E-17 3.32980339E-16 1.85660211E-16 1.96186511E-16 1.54837540E-15 2.68252409E-16 3.69525985E-15 3.72906577E-16 5.77344297E-16 5.77344297E-16 6.62131477E-16 6.62131477E-16 6.38243025E-16 9.93397487E-18 5.04223716E-15
Ht-wall    3.07393581E-16 6.86740908E-15 6.86740908E-15 2.68925323E-15 3.00376048E-16 1.26259518E-16 1.27155135E-16 2.99302590E-17 1.96202533E-16 2.89561356E-16 2.89561356E-16 4.14226709E-16 6.55834923E-15 6.55834923E-15 4.17543214E-15 4.17543214E-15 4.17543214E-15 6.31433775E-15 3.91123324E-15 4.73443152E-14 1.69109728E-15 5.90225796E-16 3.18528707E-16 2.07401746E-15 2.37843099E-16 1.27541259E-16 1.23720068E-16 2.61955856E-17 1.77953742E-15 7.10212793E-16 7.59319502E-17 1.07642227E-15 2.46190439E-16 4.25506031E-15 3.13513895E-16 3.58182575E-16 3.58182575E-16 3.67811656E-16 3.67811656E-16 5.43810743E-16 2.63622119E-17 8.24533671E-16
Adrenals   7.10997860E-17 1.34560394E-15 1.34560394E-15 3.82663832E-15 1.69814686E-15 6.99718537E-16 4.42521146E-16 1.26051235E-16 5.37033537E-17 5.80180149E-17 5.80180149E-17 8.35679234E-17 4.98036561E-16 4.98036561E-16 9.08065568E-16 9.08065568E-16 9.08065568E-16 4.22237591E-16 1.78546548E-15 1.18987239E-15 5.36040187E-15 9.23863028E-15 4.33228522E-16 3.69654159E-15 1.41177383E-15 7.15371801E-16 4.31001497E-16 1.03388449E-16 3.48120907E-15 4.61042306E-15 2.19402048E-17 1.76415653E-15 2.25570428E-16 8.94318893E-16 4.02322538E-16 6.57148708E-16 6.57148708E-16 7.41134799E-16 7.41134799E-16 8.75893864E-16 9.64606376E-17 3.94106462E-15
Liver      1.08419283E-16 1.43462087E-15 1.43462087E-15 2.47888746E-15 1.02425541E-15 7.35415029E-16 3.05102468E-16 8.80940720E-17 8.42632680E-17 9.17598518E-17 9.17598518E-17 1.26020794E-16 6.51060437E-16 6.51060437E-16 1.44075721E-15 1.44075721E-15 1.44075721E-15 5.74460379E-16 1.87983367E-15 1.68965532E-15 1.33291471E-14 2.53528407E-15 3.15949203E-16 2.70335239E-15 8.87830079E-16 7.66240905E-16 2.99478829E-16 7.65712187E-17 1.14688599E-15 3.18833121E-15 3.13674113E-17 9.15916232E-16 2.56812869E-16 1.41472184E-15 3.23976107E-16 3.07057124E-16 3.07057124E-16 3.53856699E-16 3.53856699E-16 5.63853971E-16 8.10060432E-17 4.32378256E-16
Pancreas   5.30656874E-17 5.33861227E-16 5.33861227E-16 5.67010259E-15 6.01745445E-15 1.81895097E-15 1.04484337E-15 1.97836753E-16 4.64310746E-17 4.18039889E-17 4.18039889E-17 5.58262375E-17 2.48577682E-16 2.48577682E-16 4.61955546E-16 4.61955546E-16 4.61955546E-16 2.14643584E-16 1.61595520E-15 7.11093990E-16 3.20210993E-15 5.91010863E-15 3.47864559E-16 8.96321614E-15 4.48288981E-15 1.93959486E-15 1.01845553E-15 1.68516923E-16 1.81174117E-15 1.06442197E-13 1.52491954E-17 9.47302870E-16 2.11823753E-16 4.54889948E-16 3.97996661E-16 3.30208574E-16 3.30208574E-16 5.15372111E-16 5.15372111E-16 6.38098829E-16 1.83064685E-16 4.40688295E-16
