  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Thyroid    8.33964905E-19 5.51228820E-16 5.51228820E-16 2.07722182E-20 1.01308824E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.83199788E-20 2.02979739E-18 2.02979739E-18 3.76223083E-18 1.95673814E-16 1.95673814E-16 6.92380569E-19 6.92380569E-19 6.92380569E-19 6.82719445E-15 9.17614539E-16 2.74260571E-19 2.74260571E-19 1.63197697E-19 1.63197697E-19 0.00000000E+00 5.39456490E-16
Breast     9.99133279E-20 2.21917465E-19 2.21917465E-19 1.57844825E-19 2.25025688E-20 6.36288370E-21 5.14667153E-21 5.48681360E-22 1.00222548E-18 6.12031418E-20 6.12031418E-20 1.36591954E-19 2.76103074E-19 2.76103074E-19 6.12431962E-19 6.12431962E-19 6.12431962E-19 2.82527802E-19 2.27813475E-16 5.51389038E-20 5.51389038E-20 4.86773260E-20 4.86773260E-20 8.24271737E-22 5.93808607E-16
Thymus     2.46558940E-19 3.07617886E-18 3.07617886E-18 6.82431053E-20 2.58270850E-21 5.65952822E-22 3.79010870E-22 0.00000000E+00 5.60633596E-20 3.59848839E-19 3.59848839E-19 5.74204031E-19 5.99630572E-18 5.99630572E-18 1.93110332E-16 1.93110332E-16 1.93110332E-16 7.41375126E-18 2.32716135E-16 2.66425928E-17 2.66425928E-17 1.48359941E-17 1.48359941E-17 0.00000000E+00 5.91672907E-16
Ht-wall    6.03764187E-20 7.88767506E-16 7.88767506E-16 3.88559842E-17 7.64606685E-20 1.40719161E-20 1.75742739E-20 1.17841683E-21 3.84442248E-20 5.14026282E-20 5.14026282E-20 9.99758128E-20 4.44363649E-16 4.44363649E-16 3.77793216E-16 3.77793216E-16 3.77793216E-16 5.80500585E-16 2.26707973E-15 6.86676821E-19 6.86676821E-19 2.58591285E-18 2.58591285E-18 1.26607190E-21 5.14704520E-16
Adrenals   1.04593285E-20 5.38956148E-19 5.38956148E-19 1.80757551E-18 1.55393495E-18 1.70936209E-19 6.78217329E-20 2.40502712E-20 4.40085837E-21 5.63918058E-22 5.63918058E-22 1.64335242E-21 8.41094590E-20 8.41094590E-20 1.92533548E-19 1.92533548E-19 1.92533548E-19 7.44835827E-20 1.18569071E-15 1.45253320E-17 1.45253320E-17 1.66145702E-18 1.66145702E-18 3.20323145E-21 5.18873471E-16
Liver      1.59861966E-20 3.48056820E-17 3.48056820E-17 9.49850330E-18 3.41023265E-18 2.38227622E-18 5.60345205E-20 9.49369677E-21 1.09579259E-20 1.07655045E-20 1.07655045E-20 1.99711299E-20 2.02386934E-19 2.02386934E-19 4.24064073E-17 4.24064073E-17 4.24064073E-17 1.81959184E-19 1.72490321E-15 1.92181070E-18 1.92181070E-18 3.73980036E-18 3.73980036E-18 8.50178931E-21 4.77431274E-16
Pancreas   4.11967640E-21 1.70391469E-19 1.70391469E-19 1.11327233E-17 2.08571335E-16 2.73155069E-18 3.06448297E-19 2.35295639E-20 4.71504518E-21 2.72081611E-21 2.72081611E-21 3.61242733E-21 4.52374531E-20 4.52374531E-20 1.01858370E-19 1.01858370E-19 1.01858370E-19 3.30384813E-20 1.29071338E-15 1.45051446E-19 1.45051446E-19 1.70167165E-19 1.70167165E-19 2.60706158E-20 5.11390339E-16
Kidneys    3.36553193E-21 1.40739989E-19 1.40739989E-19 1.17486000E-18 3.96859116E-18 6.93518114E-18 2.73908092E-19 3.95641462E-20 2.31081915E-21 4.65512378E-21 4.65512378E-21 4.69613950E-21 5.46758748E-20 5.46758748E-20 1.23361181E-19 1.23361181E-19 1.23361181E-19 3.74556819E-20 1.73675931E-15 6.50627850E-19 6.50627850E-19 2.38227622E-19 2.38227622E-19 2.84178043E-20 4.76338824E-16
Spleen     6.28613945E-21 4.94319512E-19 4.94319512E-19 4.55082209E-18 4.73138738E-19 2.36016618E-20 8.73282316E-20 4.52759053E-21 3.34774777E-21 8.93021130E-21 8.93021130E-21 1.51891137E-20 1.86301082E-19 1.86301082E-19 4.10349442E-17 4.10349442E-17 4.10349442E-17 1.78194069E-19 2.30264805E-15 1.58527353E-19 1.58527353E-19 3.06400231E-19 3.06400231E-19 4.74148110E-21 4.29647044E-16
GB-wall    2.76167161E-21 2.51573752E-19 2.51573752E-19 1.09984609E-18 3.83416855E-17 2.76006943E-19 7.04332805E-20 6.59968539E-22 2.61683486E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.45124528E-20 5.45124528E-20 1.73980345E-19 1.73980345E-19 1.73980345E-19 9.87581587E-20 2.45629677E-16 3.31634511E-17 3.31634511E-17 5.43330090E-19 5.43330090E-19 1.45902202E-21 5.45894257E-16
