  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
Thyroid    7.87101243E-21 2.95361235E-17 2.95361235E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.01996157E-19 1.01996157E-19 2.68813171E-19 3.24504826E-18 3.24504826E-18 2.18905373E-20 2.18905373E-20 2.18905373E-20 7.80500276E-17 2.02418977E-16 0.00000000E+00 1.29271610E-20 1.29271610E-20 1.55596972E-22 1.55596972E-22 1.11768769E-16
Breast     3.74588863E-23 1.96587055E-22 1.96587055E-22 7.74347918E-21 3.86925622E-22 4.53303793E-22 1.39322063E-21 0.00000000E+00 7.55137822E-21 0.00000000E+00 0.00000000E+00 2.67435299E-21 1.18142892E-20 1.18142892E-20 1.59753018E-20 1.59753018E-20 1.59753018E-20 3.66545937E-21 6.42745141E-17 0.00000000E+00 4.06295935E-23 4.06295935E-23 2.93855189E-22 2.93855189E-22 1.24845113E-16
Thymus     1.20345885E-21 1.94215834E-19 1.94215834E-19 5.92212495E-22 0.00000000E+00 0.00000000E+00 7.17791088E-23 0.00000000E+00 5.50636015E-22 7.08065877E-21 7.08065877E-21 2.12688929E-20 2.47776594E-19 2.47776594E-19 4.14867580E-18 4.14867580E-18 4.14867580E-18 7.33844896E-19 6.38387221E-17 0.00000000E+00 1.08484972E-18 1.08484972E-18 6.99638428E-20 6.99638428E-20 1.24474501E-16
Ht-wall    4.60385414E-22 1.23662390E-17 1.23662390E-17 2.99414742E-18 5.70519025E-21 7.69012670E-22 4.87958871E-21 0.00000000E+00 4.74708871E-22 5.85098831E-22 5.85098831E-22 2.45116981E-21 1.53520551E-18 1.53520551E-18 3.63325562E-18 3.63325562E-18 3.63325562E-18 1.70311361E-17 2.30040500E-16 2.43114260E-22 7.47319201E-21 7.47319201E-21 7.21764486E-21 7.21764486E-21 1.11182551E-16
Adrenals   0.00000000E+00 1.43159276E-20 1.43159276E-20 7.55105778E-20 3.84378161E-20 1.08324754E-20 2.05366982E-20 1.25407160E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.57043737E-20 1.57043737E-20 4.03620301E-21 4.03620301E-21 4.03620301E-21 1.84779014E-21 2.69213715E-16 0.00000000E+00 8.94254806E-21 8.94254806E-21 4.39188619E-21 4.39188619E-21 1.05205266E-16
Liver      2.34542616E-22 3.15805007E-19 3.15805007E-19 2.80733364E-19 4.79996054E-20 9.99950389E-20 1.10128805E-20 2.31562568E-22 2.57405674E-22 1.76079196E-22 1.76079196E-22 2.62756944E-22 5.96217936E-20 5.96217936E-20 6.99510254E-19 6.99510254E-19 6.99510254E-19 6.70959469E-21 3.35784148E-16 2.26723995E-22 4.27684991E-20 4.27684991E-20 1.05540172E-19 1.05540172E-19 9.95254377E-17
Pancreas   9.67810729E-25 1.08576296E-20 1.08576296E-20 3.21989409E-19 5.06992728E-18 9.49289569E-20 7.49626335E-20 1.02798848E-21 3.03227922E-24 0.00000000E+00 0.00000000E+00 3.30384813E-23 4.21644786E-21 4.21644786E-21 1.02561726E-21 1.02561726E-21 1.02561726E-21 1.19741864E-21 2.72097633E-16 9.24648094E-24 3.18256337E-21 3.18256337E-21 5.27788978E-21 5.27788978E-21 1.05208170E-16
Kidneys    0.00000000E+00 3.79443457E-21 3.79443457E-21 2.45501503E-20 1.57171911E-19 4.26194967E-20 3.85820120E-20 9.70470342E-22 0.00000000E+00 4.03428039E-23 4.03428039E-23 0.00000000E+00 2.36881794E-21 2.36881794E-21 3.33829493E-21 3.33829493E-21 3.33829493E-21 1.34461059E-21 3.74476710E-16 5.16461591E-22 5.07361228E-21 5.07361228E-21 4.99366367E-21 4.99366367E-21 9.58599692E-17
Spleen     9.67169858E-23 2.10654165E-20 2.10654165E-20 1.05186091E-19 3.54834027E-20 1.92437418E-22 6.95905357E-20 1.37679832E-22 0.00000000E+00 2.86132699E-23 2.86132699E-23 1.61931978E-22 1.89809848E-20 1.89809848E-20 1.13278684E-18 1.13278684E-18 1.13278684E-18 6.04645384E-21 4.82976102E-16 0.00000000E+00 9.30351842E-21 9.30351842E-21 1.27212813E-20 1.27212813E-20 8.57202090E-17
GB-wall    0.00000000E+00 6.70046229E-21 6.70046229E-21 9.75052566E-21 4.63365462E-19 4.37922899E-18 6.98468840E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.38013085E-20 1.38013085E-20 5.80724889E-22 5.80724889E-22 5.80724889E-22 6.46542300E-22 6.33308322E-17 0.00000000E+00 5.24680756E-21 5.24680756E-21 7.27259951E-22 7.27259951E-22 1.23599547E-16
