  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-wall        SI-cont        RC-wall        RC-cont        LC-wall        LC-cont        RS-wall        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Spleen         Pancreas       Muscle         Skin           Adipose        Brain          Ht-wall        Lung-Tis       R-marrow       Cartilage      C-bone-S       T-bone-S       UB-cont        Other          
Tongue     3.90049866E-13 4.96178036E-19 4.96178036E-19 6.58686797E-21 6.82735466E-21 1.85612146E-22 2.59103981E-21 1.21638841E-22 4.72946477E-22 2.72321937E-22 1.66978833E-22 3.85483663E-24 9.64462180E-24 2.14515410E-18 1.32655407E-15 1.32655407E-15 2.76055009E-15 4.70831604E-19 4.70831604E-19 7.15083410E-20 7.15083410E-20 7.15083410E-20 5.46999074E-19 2.26019037E-16 1.56540654E-20 1.56016742E-21 9.58229713E-21 8.64678628E-21 1.00228957E-17 4.42344906E-20 2.61234876E-18 4.34734568E-19 5.55570719E-20 8.48544711E-20 6.35391151E-18 5.66016909E-17 4.15604581E-17 1.45802867E-17 3.27725200E-24 1.32576075E-15
Tonsils    1.15252566E-14 2.03204044E-19 2.03204044E-19 6.70558925E-21 7.89873008E-22 1.11011604E-21 3.13850352E-23 3.10165346E-22 1.76063174E-23 1.75406282E-22 2.13313777E-23 3.79107000E-25 1.49923665E-24 1.41840684E-18 1.76752110E-16 1.76752110E-16 5.89681056E-18 1.92341287E-19 1.92341287E-19 1.41907976E-20 1.41907976E-20 1.41907976E-20 2.44828589E-19 2.09420489E-16 1.07765595E-20 5.50315580E-23 9.07232436E-21 3.28366071E-21 5.68452218E-17 1.98605797E-20 3.43042008E-17 4.82399318E-19 4.69662015E-20 2.01137236E-20 1.55069856E-18 2.05815592E-17 1.16547124E-17 1.17862511E-18 5.96394176E-25 4.01532007E-15
S-glands   2.94816495E-20 3.96202223E-19 3.96202223E-19 5.84858505E-21 5.87341878E-21 4.89432873E-22 1.18927958E-21 1.54856766E-21 5.16301373E-22 1.00989991E-22 2.26035059E-22 1.22380649E-23 3.16061356E-24 4.05014194E-19 5.45493029E-18 5.45493029E-18 9.86043497E-16 3.29295333E-19 3.29295333E-19 6.69549554E-20 6.69549554E-20 6.69549554E-20 4.60032935E-19 2.13922605E-16 1.17542076E-20 2.80525081E-21 7.82871497E-21 2.99270546E-21 1.64447395E-17 4.54905970E-19 2.05062569E-17 4.74436501E-19 4.69069210E-20 7.57236673E-20 3.45493338E-18 2.40150234E-17 5.77520537E-17 7.11895078E-18 2.65592796E-24 4.18464685E-15
Thyroid    8.74243622E-19 6.02434381E-16 6.02434381E-16 2.38948601E-20 2.34558638E-20 3.29968247E-21 2.43995457E-21 4.31161714E-22 1.09188328E-22 5.69349436E-22 1.37056585E-22 6.85987885E-24 2.67194973E-22 9.91026266E-20 2.11983971E-18 2.11983971E-18 3.83529007E-18 3.16157486E-16 3.16157486E-16 6.97010859E-19 6.97010859E-19 6.97010859E-19 7.55714605E-15 8.81293198E-16 3.80148415E-20 9.44787453E-21 3.55074353E-20 6.71920775E-21 4.25201618E-17 1.18743708E-19 1.91347938E-17 7.83624520E-20 3.43490617E-19 1.12144343E-17 4.73699500E-19 5.44115157E-17 2.90025988E-19 1.84058035E-19 9.15772036E-24 3.70520319E-15
Breast     1.08795794E-19 2.37923208E-19 2.37923208E-19 1.32437511E-19 1.68597032E-19 2.08314987E-20 2.48257247E-20 1.06414960E-20 7.81958256E-21 6.29735468E-21 6.23791393E-21 5.66113040E-22 8.14402330E-22 1.17844887E-18 6.71215817E-20 6.71215817E-20 1.43357946E-19 2.93759059E-19 2.93759059E-19 6.34381780E-19 6.34381780E-19 6.34381780E-19 2.96771151E-19 2.19305918E-16 2.24961601E-19 4.20715524E-20 1.09350147E-19 6.57549252E-20 1.08409670E-19 1.07973878E-16 4.82799863E-18 1.25346277E-20 8.19048642E-19 6.23006327E-19 1.41070038E-19 8.38915630E-20 5.95080391E-20 5.18704638E-20 8.85218531E-22 4.21921935E-15
Thymus     2.69133606E-19 3.13097329E-18 3.13097329E-18 5.14330696E-20 7.39740906E-20 1.49678532E-21 4.45469150E-21 2.98325262E-21 1.78146004E-21 2.56909000E-21 9.54160185E-22 3.09892976E-22 3.04926229E-22 6.50339458E-20 3.66658089E-19 3.66658089E-19 5.98477005E-19 6.09820414E-18 6.09820414E-18 2.04085241E-16 2.04085241E-16 2.04085241E-16 8.30568291E-18 2.24320730E-16 1.53640714E-19 2.61683486E-20 1.03374029E-19 4.30969453E-20 1.33861845E-17 8.19753600E-20 2.23535663E-17 2.87462505E-20 1.96955556E-16 1.97500296E-16 4.72593998E-17 5.47399619E-17 2.87638745E-17 1.65088265E-17 2.42249085E-23 4.12896409E-15
Ht-wall    6.57837644E-20 8.49714300E-16 8.49714300E-16 6.41863944E-17 4.29495451E-17 5.86348529E-20 8.04677119E-20 1.76575871E-20 1.65825266E-20 1.47986633E-20 1.93943464E-20 1.68372727E-21 1.74685302E-21 4.04629672E-20 5.58422593E-20 5.58422593E-20 1.06152203E-19 5.08562861E-16 5.08562861E-16 4.01329188E-16 4.01329188E-16 4.01329188E-16 6.43321925E-16 2.31017828E-15 2.01649933E-17 1.61323150E-19 7.17150217E-19 1.97275991E-19 1.74941651E-18 6.50307414E-20 6.18664429E-18 8.81261155E-21 9.85178322E-14 4.04934085E-16 1.21634035E-17 2.06648723E-17 7.35014485E-19 2.85940438E-18 1.75582521E-21 1.08977034E-17
Adrenals   1.09130649E-20 5.59560138E-19 5.59560138E-19 1.97532339E-18 1.82888446E-18 4.85619693E-17 2.17831915E-18 1.63357915E-19 1.75951022E-19 9.07248458E-20 7.75757833E-20 4.29831908E-21 2.51397513E-20 4.16838257E-21 1.17716713E-21 1.17716713E-21 2.57165348E-21 9.91362723E-20 9.91362723E-20 2.20715833E-19 2.20715833E-19 2.20715833E-19 7.99309828E-20 1.14078170E-15 2.27316800E-16 7.61145984E-16 1.68821336E-18 1.95145096E-18 9.09443439E-18 3.75101559E-20 2.44764502E-17 3.01081005E-22 3.55506941E-19 2.16646305E-19 3.55651137E-18 2.54986388E-17 1.64239112E-17 1.85644190E-18 5.20242727E-21 3.55659670E-15
Liver      1.78915048E-20 3.74604884E-17 3.74604884E-17 1.28725268E-16 1.05881435E-17 1.77937721E-17 3.79058935E-18 5.93782628E-18 2.62740922E-18 6.32747560E-20 6.15732446E-20 8.54344590E-21 1.05621883E-20 1.21308793E-20 1.22100268E-20 1.22100268E-20 2.17735785E-20 2.12672907E-19 2.12672907E-19 4.53496055E-17 4.53496055E-17 4.53496055E-17 1.90530828E-19 1.66033549E-15 1.65280526E-14 3.92549261E-17 3.79331305E-19 1.83641469E-17 3.98653553E-18 7.04701306E-20 1.65440744E-18 3.26811960E-21 2.01249389E-17 4.38419574E-17 1.43202534E-17 1.50010182E-17 2.10509969E-18 4.05286564E-18 9.61674393E-21 4.59385972E-18
Pancreas   5.00600043E-21 1.74829498E-19 1.74829498E-19 8.33932861E-16 1.25576991E-17 3.27164439E-16 2.31498481E-16 2.45437416E-17 2.96482759E-18 3.24008151E-19 3.23110932E-19 1.99294733E-20 2.70703739E-20 5.51373016E-21 3.13097329E-21 3.13097329E-21 4.91836138E-21 4.93374227E-20 4.93374227E-20 1.10612662E-19 1.10612662E-19 1.10612662E-19 3.74877254E-20 1.24266411E-15 1.83112751E-17 1.17202414E-16 7.03051064E-19 2.03941045E-13 2.94496060E-19 4.90506331E-20 5.76559231E-18 2.28005736E-22 1.99310755E-19 1.08573092E-19 3.10389651E-19 2.34045941E-19 1.50279348E-19 1.79203440E-19 2.89032638E-20 6.23064320E-18
