  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Ht-wall        Liver          Kidneys        Muscle         St-wall        SI-wall        RC-wall        LC-wall        RS-wall        Spleen         Pancreas       Brain          R-marrow       Skin           Lung-Tis       Adipose        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Cartilage      UB-cont        Other         
Tongue     1.69654468E-13 7.47271135E-16 7.47271135E-16 6.77143870E-17 2.55739411E-17 2.94960691E-17 3.82759963E-17 4.26130880E-18 5.08178338E-15 1.31737359E-14 1.31737359E-14 1.15423998E-14 3.69061354E-16 3.69061354E-16 2.28678650E-16 2.28678650E-16 2.28678650E-16 6.48961586E-16 4.87253913E-16 1.85435907E-16 7.85787458E-17 2.97315891E-17 3.08579191E-16 6.75285346E-17 1.67523573E-17 2.41864562E-17 3.14250896E-17 3.12472480E-18 6.57565274E-17 4.27156273E-17 1.43194524E-15 5.64542907E-16 1.99583125E-16 2.33036570E-16 2.18360633E-16 7.49081595E-16 7.49081595E-16 6.58318297E-16 6.58318297E-16 6.68011464E-16 2.22734575E-18 2.96297113E-15 
Tonsils    1.10495704E-14 4.40694665E-16 4.40694665E-16 3.58342793E-17 1.42465533E-17 1.48068344E-17 1.82183488E-17 1.27075026E-18 2.37090077E-15 1.75967044E-14 1.75967044E-14 3.71016009E-15 2.33405071E-16 2.33405071E-16 1.53126416E-16 1.53126416E-16 1.53126416E-16 4.44283540E-16 1.68997576E-16 1.14124633E-16 4.74933176E-17 1.88592194E-17 3.40814982E-16 4.31530215E-17 7.84121195E-18 1.28494554E-17 1.91283851E-17 1.92982158E-18 4.84209778E-17 2.68556823E-17 3.92837653E-15 8.72353054E-16 1.62893283E-16 1.55593767E-16 3.06223992E-16 1.12972668E-15 1.12972668E-15 6.21195868E-16 6.21195868E-16 5.60921988E-16 8.02786551E-19 3.92884483E-15 
S-glands   4.35519634E-15 7.92228208E-16 7.92228208E-16 6.00912313E-17 2.19930766E-17 2.44299871E-17 3.26571633E-17 3.74092188E-18 1.19416622E-15 4.15444363E-15 4.15444363E-15 6.74291996E-15 3.62011777E-16 3.62011777E-16 2.49026291E-16 2.49026291E-16 2.49026291E-16 6.64342480E-16 1.64928048E-16 1.66930768E-16 7.20482744E-17 3.25738502E-17 3.15035963E-16 5.70839461E-17 1.44827141E-17 2.04742133E-17 2.86485178E-17 2.79259362E-18 7.12792297E-17 3.70230943E-17 1.47039747E-15 4.45597325E-16 3.19874536E-16 2.52519036E-16 2.37586751E-16 6.47247257E-16 6.47247257E-16 4.29175016E-16 4.29175016E-16 4.56315885E-16 2.33036570E-18 4.35805214E-15 
Thyroid    1.15142015E-15 1.14927324E-14 1.14927324E-14 1.98253319E-16 6.72417450E-17 6.24816786E-17 8.69997854E-17 8.79947370E-18 3.42753616E-16 2.99382698E-15 2.99382698E-15 6.87734257E-15 5.31602158E-15 5.31602158E-15 1.40171216E-15 1.40171216E-15 1.40171216E-15 1.92229135E-14 8.16164724E-16 9.73850934E-16 2.21132399E-16 9.79234247E-17 3.81478222E-16 1.86701626E-16 4.33981545E-17 5.27708870E-17 7.62475790E-17 7.22341269E-18 2.42569520E-16 1.11476236E-16 2.59905070E-16 8.93998458E-16 2.34702834E-16 1.52421458E-15 4.05398717E-16 5.50443754E-16 5.50443754E-16 3.80917460E-16 3.80917460E-16 5.99967029E-16 6.44058926E-18 3.99943448E-15 
Breast     1.83673512E-16 5.11254517E-16 5.11254517E-16 1.12070643E-15 3.06928950E-16 3.09043823E-16 4.79707662E-16 3.77937412E-17 1.70327382E-16 1.43644735E-16 1.43644735E-16 2.24737296E-16 1.28031525E-15 1.28031525E-15 1.20566985E-15 1.20566985E-15 1.20566985E-15 4.92284747E-16 4.29399320E-16 1.41170975E-15 9.74924392E-16 2.90891163E-16 2.08843705E-16 1.09170704E-15 1.86541408E-16 2.35375748E-16 4.20347023E-16 2.61555312E-17 5.37626342E-16 5.21908991E-16 4.73347021E-17 3.46486687E-16 4.52038074E-16 1.20756042E-15 3.65921088E-16 1.29543980E-16 1.29543980E-16 1.92821940E-16 1.92821940E-16 1.89120913E-16 2.25362145E-17 3.87016477E-15 
Thymus     5.62844600E-16 5.02122111E-15 5.02122111E-15 3.69429854E-16 1.20408370E-16 1.10508521E-16 1.41739747E-16 1.45443979E-17 2.43226412E-16 9.94454924E-16 9.94454924E-16 2.00464322E-15 5.57957962E-15 5.57957962E-15 2.74484876E-15 2.74484876E-15 2.74484876E-15 1.15875812E-14 3.44916554E-16 3.27292613E-15 4.12432271E-16 1.51351204E-16 2.81806822E-16 3.49178344E-16 7.08145985E-17 9.06351239E-17 1.18343164E-16 1.09725057E-17 3.33989710E-16 2.09468554E-16 1.41396882E-16 1.21842317E-15 2.26083124E-16 2.83376955E-15 3.75614256E-16 6.13072833E-16 6.13072833E-16 4.28470058E-16 4.28470058E-16 5.29919873E-16 1.10194494E-17 4.52221750E-15 
Ht-wall    1.75454347E-16 6.23775372E-15 6.23775372E-15 3.41119396E-15 5.36376644E-16 3.18512686E-16 6.31529906E-16 5.02025980E-17 1.08007524E-16 2.06600658E-16 2.06600658E-16 3.66818307E-16 4.79547444E-15 4.79547444E-15 3.15019941E-15 3.15019941E-15 3.15019941E-15 5.88719750E-15 3.11286870E-15 3.67202829E-14 1.46789808E-15 5.59736377E-16 2.50916860E-16 2.93662928E-15 2.95681671E-16 2.48962204E-16 5.47800163E-16 3.47255732E-17 1.57535605E-15 9.90385395E-16 5.12584323E-17 7.89264181E-16 1.89072847E-16 3.20178949E-15 3.82727919E-16 3.40911113E-16 3.40911113E-16 3.07617886E-16 3.07617886E-16 3.18048054E-16 3.03452227E-17 3.96327407E-16 
Adrenals   4.23567398E-17 1.10223334E-15 1.10223334E-15 2.27621214E-15 1.90034153E-15 9.41599121E-16 1.24972970E-15 1.39533550E-16 3.15516616E-17 4.92525074E-17 4.92525074E-17 7.55522344E-17 5.81782326E-16 5.81782326E-16 8.20122100E-16 8.20122100E-16 8.20122100E-16 4.43097929E-16 1.41028381E-15 1.00711212E-15 3.10053194E-15 1.17910576E-14 3.20867885E-16 2.22462205E-15 1.04665383E-15 8.23887215E-16 1.10559791E-15 1.06490262E-16 6.09852458E-15 3.06528405E-15 1.76111239E-17 1.01533128E-15 2.03075870E-16 8.12623914E-16 6.53287463E-16 4.11903553E-16 4.11903553E-16 3.91011172E-16 3.91011172E-16 3.98733662E-16 9.41358795E-17 2.93729543E-15 
Liver      7.64927120E-17 1.31319191E-15 1.31319191E-15 1.74765411E-15 1.02675480E-15 2.14034757E-15 8.08522342E-16 1.00477294E-16 6.19801974E-17 7.49898705E-17 7.49898705E-17 1.19431042E-16 9.36183765E-16 9.36183765E-16 1.29866017E-15 1.29866017E-15 1.29866017E-15 5.66753911E-16 1.54901627E-15 1.46671247E-15 1.09193134E-14 1.93943464E-15 2.58302893E-16 2.08122726E-15 6.39268418E-16 1.66017528E-15 6.05174103E-16 7.79907470E-17 6.26515093E-16 3.32275382E-15 2.55002410E-17 6.62323738E-16 2.05671396E-16 1.28750902E-15 3.66097327E-16 2.70094912E-16 2.70094912E-16 3.11174717E-16 3.11174717E-16 3.08370908E-16 7.83993020E-17 2.56709318E-16 
Pancreas   4.32443456E-17 8.82206439E-16 8.82206439E-16 3.92629370E-15 5.75085228E-15 3.41487896E-15 3.01193158E-15 2.37538686E-16 3.69734268E-17 4.05462804E-17 4.05462804E-17 6.36833110E-17 4.77817094E-16 4.77817094E-16 5.66433475E-16 5.66433475E-16 5.66433475E-16 3.00263895E-16 1.46523846E-15 9.92804682E-16 3.34310146E-15 2.81037778E-15 2.39861842E-16 5.48665338E-15 2.96675020E-15 2.61282941E-15 2.15332520E-15 1.70183186E-16 1.19874845E-15 9.47687392E-14 1.32610546E-17 7.76639030E-16 1.68148422E-16 5.63677732E-16 5.75629968E-16 2.72434090E-16 2.72434090E-16 2.94143581E-16 2.94143581E-16 3.43730944E-16 1.54805497E-16 3.62471378E-16 
Kidneys    3.11302891E-17 5.40045628E-16 5.40045628E-16 1.43636724E-15 2.70607609E-15 1.81975205E-15 1.70952231E-15 2.44203740E-16 2.40903257E-17 3.17519336E-17 3.17519336E-17 5.11703126E-17 3.38924414E-16 3.38924414E-16 4.51092790E-16 4.51092790E-16 4.51092790E-16 2.42457368E-16 1.35422365E-15 5.60441335E-16 1.94744552E-15 4.06744545E-14 3.53295937E-16 1.41195007E-15 1.56833852E-15 1.93062267E-15 1.61899934E-15 1.82760272E-16 2.64327077E-15 2.79147209E-15 1.20802505E-17 7.91907772E-16 2.13217647E-16 4.47584023E-16 5.89248468E-16 3.00039591E-16 3.00039591E-16 3.44820424E-16 3.44820424E-16 3.70823748E-16 1.59738598E-16 3.01158711E-16 
Spleen     6.46510256E-17 1.19709821E-15 1.19709821E-15 3.75694364E-15 1.46446942E-15 2.80541103E-16 2.42249085E-15 1.11243920E-16 4.34446176E-17 7.26747255E-17 7.26747255E-17 1.19693799E-16 9.95288055E-16 9.95288055E-16 1.63950720E-15 1.63950720E-15 1.63950720E-15 6.08314369E-16 1.55707522E-15 1.57410635E-15 6.26002397E-16 2.64695577E-15 3.20707667E-16 3.64703434E-15 8.13617264E-16 2.40070125E-16 2.24416861E-15 7.66449188E-17 7.32819503E-14 1.19251598E-15 2.53256037E-17 7.35014485E-16 2.46126352E-16 1.61947999E-15 5.26282932E-16 3.48665647E-16 3.48665647E-16 3.83817399E-16 3.83817399E-16 3.62716735E-16 5.78049255E-17 2.69215417E-16 
GB-wall    5.24584625E-17 8.08666538E-16 8.08666538E-16 1.37724693E-15 2.09340380E-15 6.33292300E-15 1.07296157E-15 1.51112480E-16 4.78490008E-17 4.89737287E-17 4.89737287E-17 7.79923492E-17 5.34357902E-16 5.34357902E-16 6.51653243E-16 6.51653243E-16 6.51653243E-16 3.28814680E-16 4.21388438E-16 8.78377237E-16 8.04981532E-15 2.44636328E-15 2.29768130E-16 1.77376959E-15 1.22431918E-15 4.05142368E-15 7.88607289E-16 1.16877173E-16 5.86957356E-16 1.28872668E-14 1.64591591E-17 6.15075553E-16 1.82936511E-16 6.47920171E-16 4.31818607E-16 2.19594309E-16 2.19594309E-16 2.66906581E-16 2.66906581E-16 2.88183485E-16 1.17617378E-16 2.55882167E-15 
Ureters    1.40571761E-17 1.88800477E-16 1.88800477E-16 6.60785649E-16 3.47560145E-15 1.76271457E-15 1.11445794E-15 1.81462509E-15 1.25621852E-17 1.41501023E-17 1.41501023E-17 1.89425326E-17 1.30377112E-16 1.30377112E-16 1.59740200E-16 1.59740200E-16 1.59728985E-16 8.58702510E-17 3.12232154E-16 2.18520851E-16 5.63165035E-16 2.61811660E-15 4.41127252E-16 7.15403845E-16 4.24096116E-15 2.03524479E-15 1.12685879E-15 1.59312419E-15 5.23399015E-16 1.88239715E-15 4.51765704E-18 1.36588750E-15 1.76816197E-16 1.58838175E-16 8.93213392E-16 4.28470058E-16 4.28470058E-16 4.61346719E-16 4.61346719E-16 6.22141152E-16 2.68204344E-15 3.36112514E-15 
