  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Tongue     2.27685301E-14 1.16253926E-18 1.16253926E-18 1.93735181E-21 4.12143880E-22 2.05270852E-22 1.78434395E-22 6.09836436E-23 2.24192556E-18 2.27124539E-16 2.27124539E-16 3.26411416E-16 8.09451605E-19 8.09451605E-19 1.97516317E-20 1.97516317E-20 1.97516317E-20 6.86484559E-19 1.22348605E-13 2.92749688E-21 1.40406736E-18 1.40406736E-18 5.97451612E-22 1.09643346E-18 1.09643346E-18 5.11302582E-19 8.14226091E-22 5.20931663E-23 0.00000000E+00 2.99190437E-22 5.06175618E-23 1.12209918E-17
Tonsils    5.98156570E-16 2.34430464E-19 2.34430464E-19 1.31272728E-21 3.63774171E-22 1.57445883E-22 1.22154742E-22 4.29447386E-23 6.27043812E-19 3.50796542E-16 3.50796542E-16 2.47920790E-17 1.77008458E-19 1.77008458E-19 1.23514990E-20 1.23514990E-20 1.23514990E-20 1.28952777E-19 1.22348605E-13 1.62797153E-21 1.69766621E-18 1.69766621E-18 4.31850650E-22 7.72249067E-19 7.72249067E-19 3.52270544E-19 5.10918060E-22 4.81486078E-23 0.00000000E+00 2.51397513E-22 3.81574352E-23 3.31915289E-13
S-glands   8.62483646E-17 7.17134196E-19 7.17134196E-19 1.63197697E-21 2.98309240E-22 1.70471578E-22 1.39507915E-22 4.97171386E-23 1.26387692E-19 3.57557727E-17 3.57557727E-17 1.44069312E-16 6.08474586E-19 6.08474586E-19 2.21164442E-20 2.21164442E-20 2.21164442E-20 8.36704627E-19 1.22348605E-13 2.32587961E-21 1.44469856E-18 1.44469856E-18 6.02049859E-22 7.17983349E-19 7.17983349E-19 3.38988501E-19 6.50836133E-22 5.02875134E-23 0.00000000E+00 2.31210089E-22 4.23006636E-23 3.32005711E-13
Thyroid    6.21596412E-19 1.48678774E-16 1.48678774E-16 6.28902336E-21 9.53551358E-22 4.73779609E-22 3.08995757E-22 9.31761758E-23 2.97347934E-20 7.45076154E-18 7.45076154E-18 1.11259942E-17 3.69830398E-16 3.69830398E-16 1.27741531E-18 1.27741531E-18 1.27741531E-18 6.29158685E-16 5.18063767E-13 1.11779047E-20 2.74677137E-19 2.74677137E-19 1.80148724E-21 1.95097031E-19 1.95097031E-19 2.48305312E-19 2.38836449E-21 7.71079478E-23 0.00000000E+00 8.03699791E-22 8.38611217E-23 2.98968658E-13
Breast     1.46081646E-19 7.51580990E-20 7.51580990E-20 5.85210984E-20 5.18832812E-21 1.97900840E-21 1.48425630E-21 2.81390256E-22 6.33580692E-19 3.60794123E-20 3.60794123E-20 2.68957367E-19 1.88464020E-19 1.88464020E-19 1.93414746E-18 1.93414746E-18 1.93414746E-18 1.66450115E-19 1.22348605E-13 1.53924299E-19 1.77633307E-20 1.77633307E-20 3.13497873E-21 1.29641713E-19 1.29641713E-19 2.35087356E-19 9.58053474E-21 2.39461298E-22 0.00000000E+00 3.32932274E-21 2.59184090E-22 3.31949466E-13
Thymus     1.32102656E-19 1.89649631E-17 1.89649631E-17 1.58766077E-20 2.24865470E-21 1.00506133E-21 6.31369688E-22 1.63710393E-22 2.60001200E-20 2.42617585E-19 2.42617585E-19 3.68869093E-19 6.96706445E-17 6.96706445E-17 1.56069614E-17 1.56069614E-17 1.56069614E-17 7.35719443E-17 1.22348605E-13 3.43378465E-20 8.21532015E-19 8.21532015E-19 3.20867885E-21 1.72762691E-18 1.72762691E-18 3.47928646E-18 5.34614250E-21 1.40744796E-22 0.00000000E+00 1.61739716E-21 1.40212873E-22 3.32012489E-13
Ht-wall    1.61323150E-20 6.14947379E-17 6.14947379E-17 7.46293808E-18 1.89553500E-20 3.40943156E-21 3.66337654E-21 4.88647807E-22 1.29651326E-20 1.40129560E-20 1.40129560E-20 2.57069217E-20 6.82655358E-17 6.82655358E-17 2.83521151E-17 2.83521151E-17 2.83521151E-17 6.68556204E-17 5.77392362E-13 2.95921997E-18 1.14336121E-19 1.14336121E-19 5.54577369E-21 5.05390551E-19 5.05390551E-19 1.11066078E-18 4.31065584E-20 3.73050773E-22 0.00000000E+00 9.60568891E-21 3.83336746E-22 2.93961527E-13
Adrenals   1.50351446E-21 1.04750299E-18 1.04750299E-18 5.70759352E-18 5.04365158E-18 4.49891158E-20 1.81414444E-20 2.68492736E-21 1.09388600E-21 1.21608400E-21 1.21608400E-21 1.91396003E-21 3.16125443E-20 3.16125443E-20 1.49771458E-19 1.49771458E-19 1.49771458E-19 2.59071938E-20 6.52149917E-13 2.06969159E-17 1.05439235E-18 1.05439235E-18 2.81374235E-21 5.96474284E-19 5.96474284E-19 7.78545620E-19 7.47191026E-17 1.84939232E-21 0.00000000E+00 2.82191345E-18 1.88736390E-21 2.87743892E-13
Liver      3.16493943E-21 4.40486382E-18 4.40486382E-18 5.19585835E-18 1.23734488E-18 5.11222473E-19 1.35483248E-20 1.93639050E-21 3.10902347E-21 2.35007247E-21 2.35007247E-21 4.10942247E-21 2.14980041E-19 2.14980041E-19 4.06952828E-18 4.06952828E-18 4.06952828E-18 1.19903684E-19 9.28413209E-13 9.28413209E-12 1.32387843E-19 1.32387843E-19 5.30592787E-21 3.69189528E-19 3.69189528E-19 6.76711283E-19 5.36632993E-18 1.53201718E-21 0.00000000E+00 2.73924114E-19 1.70375448E-21 5.36767711E-19
Pancreas   9.67890838E-22 5.06175618E-20 5.06175618E-20 1.71256645E-17 3.84057726E-17 2.00127865E-18 9.71639931E-20 5.76703426E-21 1.06398938E-21 7.05438307E-22 7.05438307E-22 1.07299362E-21 1.05663539E-20 1.05663539E-20 2.71200414E-20 2.71200414E-20 2.71200414E-20 8.75108797E-21 6.97363338E-13 4.41720057E-18 1.05434428E-19 1.05434428E-19 2.09212206E-21 9.34277175E-20 9.34277175E-20 8.42648702E-20 2.18216438E-17 4.10685899E-21 0.00000000E+00 2.46542918E-17 5.31473984E-21 2.84008250E-13
