  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
Spleen     1.00800934E-21 6.45516907E-20 6.45516907E-20 3.16205551E-19 1.04442681E-19 3.25898719E-21 2.08587357E-19 1.58974360E-21 1.06145794E-22 4.12320119E-22 4.12320119E-22 1.98910211E-21 5.59079485E-20 5.59079485E-20 3.74508754E-18 3.74508754E-18 3.74508754E-18 2.58671394E-20 7.52830688E-16 2.64439229E-22 2.99975504E-20 2.99975504E-20 3.76719757E-20 3.76719757E-20 1.33910670E-16
GB-wall    0.00000000E+00 2.47888746E-20 2.47888746E-20 3.52318609E-20 1.42761936E-18 1.52596095E-17 4.22942549E-20 1.00003050E-22 0.00000000E+00 4.13025077E-24 4.13025077E-24 4.25746358E-23 2.19610331E-20 2.19610331E-20 1.22395068E-20 1.22395068E-20 1.22395068E-20 7.04733350E-21 9.96425601E-17 9.53887815E-23 1.59568767E-20 1.59568767E-20 1.19842801E-20 1.19842801E-20 1.91069643E-16
Ureters    0.00000000E+00 1.15811725E-21 1.15811725E-21 3.02426834E-20 6.25842179E-18 1.19836393E-19 6.60240909E-20 1.05311060E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.75365455E-22 6.75365455E-22 3.08979736E-23 3.08979736E-23 2.82543823E-21 3.89505126E-23 9.51788964E-17 2.61314985E-19 1.84907188E-20 1.84907188E-20 1.78866983E-20 1.78866983E-20 1.93690146E-16
UB-wall    0.00000000E+00 0.00000000E+00 0.00000000E+00 6.38867874E-22 7.48200398E-19 5.76959775E-21 5.39805302E-21 3.57958271E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.27347916E-25 0.00000000E+00 4.82559536E-17 6.20474888E-16 1.36824270E-19 1.36824270E-19 2.91147511E-20 2.91147511E-20 1.96608764E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.90330092E-22 0.00000000E+00 3.19041404E-24 7.74395983E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.32820431E-16 1.22705891E-20 3.45365164E-21 3.45365164E-21 2.61250898E-22 2.61250898E-22 1.91185762E-16
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 7.92869078E-21 7.12055296E-22 0.00000000E+00 7.63324944E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.23014802E-24 0.00000000E+00 9.76911091E-17 2.44219762E-17 4.37698594E-20 4.37698594E-20 3.31890859E-20 3.31890859E-20 1.94218683E-16
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     4.97619995E-21 4.44315583E-17 4.44315583E-17 3.94007242E-18 3.80709177E-18 1.27289718E-18 1.44421791E-18 4.94736077E-18 7.19457351E-22 1.08956012E-20 1.08956012E-20 3.89665343E-20 9.07985459E-19 9.07985459E-19 1.11799875E-17 1.11799875E-17 1.11799875E-17 1.99134516E-18 1.80052594E-16 1.88399933E-18 1.77409002E-18 1.77409002E-18 2.81646605E-19 2.81646605E-19 1.90067973E-16
Skin       5.87053487E-21 4.90266005E-21 4.90266005E-21 6.10092784E-21 5.81910500E-21 6.60449191E-21 8.90345496E-21 8.39139935E-21 6.27059833E-18 2.29880282E-20 2.29880282E-20 1.37764747E-20 1.39711392E-20 1.39711392E-20 7.21732442E-21 7.21732442E-21 7.21732442E-21 1.23782553E-19 1.04852838E-16 5.04188919E-21 1.78963114E-19 1.78963114E-19 5.01529306E-20 5.01529306E-20 1.90617974E-16
Adipose    9.27435881E-19 3.69702224E-18 3.69702224E-18 3.86108512E-19 6.36560740E-19 7.29486976E-19 1.06924452E-18 7.51564968E-19 6.30568600E-18 7.30063760E-18 7.30063760E-18 6.50227305E-18 2.54217343E-18 2.54217343E-18 2.79627862E-18 2.79627862E-18 2.79627862E-18 8.19240903E-18 3.67122720E-17 3.71432575E-19 1.60602171E-18 1.60602171E-18 3.36665345E-19 3.36665345E-19 2.00287655E-16
Muscle     1.97275991E-18 3.13802287E-19 3.13802287E-19 9.99613932E-21 1.79812267E-20 2.11951927E-20 1.58527353E-20 1.58948725E-19 1.03124090E-20 1.17886544E-18 1.17886544E-18 4.09147809E-18 4.87478218E-20 4.87478218E-20 2.96915347E-19 2.96915347E-19 2.96915347E-19 6.17847319E-19 5.82295022E-17 2.78057729E-20 3.00039591E-18 3.00039591E-18 5.55891154E-19 5.55891154E-19 1.98080784E-16
