  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Thyroid    4.53624229E-15 3.95016613E-14 3.95016613E-14 8.21291689E-16 3.19425926E-16 3.01721876E-16 4.04469454E-16 5.57669570E-17 1.52088205E-15 1.13704863E-14 1.13704863E-14 2.57117283E-14 1.93799268E-14 1.93799268E-14 5.25946475E-15 5.25946475E-15 5.25946475E-15 6.23070414E-14 2.53063776E-15 9.49914417E-16 2.15636933E-15 2.15636933E-15 2.07706160E-16 1.51416893E-15 1.51416893E-15 1.91347938E-15 4.29543516E-16 0.00000000E+00 1.04029319E-17 1.84987297E-16 4.09067701E-17 1.91287677E-15
Breast     7.48841268E-16 2.07481855E-15 2.07481855E-15 4.36224592E-15 1.31493829E-15 1.35480044E-15 1.98717950E-15 2.02082520E-16 6.70719143E-16 6.41671683E-16 6.41671683E-16 9.37000875E-16 4.98933780E-15 4.98933780E-15 4.68780818E-15 4.68780818E-15 4.68780818E-15 2.02739413E-15 1.48943133E-15 3.92629370E-15 5.67587042E-16 5.67587042E-16 3.09732758E-16 8.17446465E-16 8.17446465E-16 7.19233047E-16 1.25378321E-15 0.00000000E+00 3.51261173E-17 6.16886013E-16 1.36558309E-16 1.46993091E-15
Thymus     2.32299569E-15 1.88335846E-14 1.88335846E-14 1.49311633E-15 5.21428338E-16 5.05951313E-16 6.14242422E-16 8.87093077E-17 1.11192650E-15 3.96779007E-15 3.96779007E-15 7.79875427E-15 2.07065289E-14 2.07065289E-14 9.78769616E-15 9.78769616E-15 9.78769616E-15 4.33404761E-14 1.11455407E-15 1.59967709E-15 2.17783850E-15 2.17783850E-15 2.91419881E-16 1.60842498E-15 1.60842498E-15 2.50147815E-15 6.46494234E-16 0.00000000E+00 1.48659548E-17 2.68524779E-16 6.55113944E-17 1.87677442E-15
Ht-wall    7.50347314E-16 2.18665047E-14 2.18665047E-14 1.24078956E-14 2.11102774E-15 1.29960546E-15 2.47904768E-15 2.47327984E-16 4.88615763E-16 8.77528084E-16 8.77528084E-16 1.50370672E-15 1.76463718E-14 1.76463718E-14 1.13746520E-14 1.13746520E-14 1.13746520E-14 2.01794129E-14 8.56667746E-15 5.56323742E-15 1.31820673E-15 1.31820673E-15 4.05414738E-16 1.18951991E-15 1.18951991E-15 1.57306494E-15 2.18697090E-15 0.00000000E+00 3.66786263E-17 9.03963996E-16 1.62396609E-16 1.77012114E-15
Adrenals   2.06792919E-16 4.16405669E-15 4.16405669E-15 8.61282014E-15 7.14250278E-15 3.62444365E-15 4.72754216E-15 6.41191030E-16 1.55983096E-16 2.36705554E-16 2.36705554E-16 3.75822539E-16 2.27845518E-15 2.27845518E-15 3.14539288E-15 3.14539288E-15 3.14539288E-15 1.71961602E-15 4.61394785E-15 1.13690444E-14 1.57819190E-15 1.57819190E-15 3.89697387E-16 1.51968042E-15 1.51968042E-15 2.01601867E-15 4.00656274E-14 0.00000000E+00 8.49425908E-17 3.88832212E-15 4.38723987E-16 1.97974327E-15
Liver      3.44756336E-16 4.91723986E-15 4.91723986E-15 6.56331598E-15 3.91331607E-15 8.05734555E-15 3.12440437E-15 4.60577675E-16 2.82047149E-16 3.40206155E-16 3.40206155E-16 5.19617878E-16 3.55154462E-15 3.55154462E-15 4.81181664E-15 4.81181664E-15 4.81181664E-15 2.18985482E-15 4.79194965E-15 3.06560449E-14 1.06128170E-15 1.06128170E-15 4.21212198E-16 1.20260969E-15 1.20260969E-15 1.33701628E-15 7.26330689E-15 0.00000000E+00 7.62027181E-17 2.19946788E-15 3.67955852E-16 1.27648343E-15
Pancreas   2.14403257E-16 3.34133906E-15 3.34133906E-15 1.46038387E-14 2.07321637E-14 1.27390655E-14 1.12251689E-14 9.95400208E-16 1.78482461E-16 1.96202533E-16 1.96202533E-16 2.97780522E-16 1.87006040E-15 1.87006040E-15 2.19754527E-15 2.19754527E-15 2.19754527E-15 1.20147215E-15 4.67162620E-15 1.23861060E-14 1.06850752E-15 1.06850752E-15 2.68540801E-16 1.16378896E-15 1.16378896E-15 1.54480255E-15 1.04378594E-14 0.00000000E+00 1.29281223E-16 7.09091270E-15 6.77864850E-16 2.10459997E-15
Kidneys    1.59544735E-16 2.08282943E-15 2.08282943E-15 5.41759957E-15 1.00943527E-14 6.84289578E-15 6.44251187E-15 1.02845311E-15 1.28215776E-16 1.58762872E-16 1.58762872E-16 2.46238504E-16 1.35883792E-15 1.35883792E-15 1.78001808E-15 1.78001808E-15 1.78001808E-15 9.88366653E-16 4.01056818E-15 7.26538972E-15 1.19270824E-15 1.19270824E-15 3.59416251E-16 1.33560636E-15 1.33560636E-15 1.62620913E-15 9.76254199E-14 0.00000000E+00 1.34345703E-16 9.70133885E-15 6.90682262E-16 1.71880984E-15
Spleen     3.01016918E-16 4.48160807E-15 4.48160807E-15 1.40071882E-14 5.50700102E-15 1.14707826E-15 9.05886608E-15 5.12568302E-16 2.09068010E-16 3.28750593E-16 3.28750593E-16 5.14394783E-16 3.72826469E-15 3.72826469E-15 5.99630572E-15 5.99630572E-15 5.99630572E-15 2.32555917E-15 4.46222173E-15 2.43626957E-15 1.37479560E-15 1.37479560E-15 6.69886011E-16 1.49193072E-15 1.49193072E-15 1.47797577E-15 9.91154440E-15 0.00000000E+00 6.51012372E-17 2.05463113E-15 2.88247572E-16 2.02618938E-15
GB-wall    2.49939532E-16 3.00279917E-15 3.00279917E-15 5.22565883E-15 7.75693746E-15 2.28566498E-14 4.11406878E-15 6.72641755E-16 2.27797453E-16 2.29784152E-16 2.29784152E-16 3.65520544E-16 2.10926535E-15 2.10926535E-15 2.54233365E-15 2.54233365E-15 2.54233365E-15 1.33477323E-15 1.35702746E-15 2.70126956E-14 8.99029292E-16 8.99029292E-16 3.12504524E-16 1.05170069E-15 1.05170069E-15 1.25700358E-15 9.04588845E-15 0.00000000E+00 1.02206042E-16 3.95256939E-15 5.42865459E-16 1.65738407E-15
